chunk_id,chunking_strategy,chunk_text,chunk_word_count,chunk_char_count,chunk_order,parent_document_id,record_id,source_type,source_name,legal_category,rag_usage,article_number_int,article_number_label,bab_label,bab_title,fasl,article_title
STRUCT_000001,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الأول - المادة 1
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الأول المادة الأولى: رقم المادة: 1 حالة المادة: active النص: يسمى هذا النظام نظام العمل.",37,214,1,d28fed1c707fb8a6b354171cec6a310c1164782775f0d91e9d13d8b8198af462,1,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,1,1,الباب الأول,التعريفات / الأحكام العامة,الفصل الأول,المادة الأولى:
STRUCT_000002,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الأول - المادة 2
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الأول المادة الثانية : رقم المادة: 2 حالة المادة: active النص: يقصد بالألفاظ والعبارات الآتية – أينما وردت في هذا النظام – المعاني المبينة أمامها ما لم يقتض السياق خلاف ذلك: -الوزارة: وزارة الموارد البشرية والتنمية الاجتماعية. -الوزير: وزير الموارد البشرية والتنمية الاجتماعية. -مكتب العمل: الجهة الإدارية المنوط بها شؤون العمل في النطاق المكاني الذي يحدد بقرار من الوزير. -صاحب العمل: كل شخص طبيعي أو اعتباري يشغّل عاملاً أو أكثر مقابل أجر. -العامل: كل شخص طبيعي –ذكراً أو أنثى- يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته. -الحدث: الشخص الذي أتم الخامسة عشرة من عمره ولم يبلغ الثامنة عشرة. -العمل: الجهد المبذول في النشاطات الإنسانية كافة، تنفيذاً لعقد عمل (مكتوب أو غير مكتوب) بصرف النظر عن طبيعتها أو نوعها، صناعية كانت أو تجارية، أو زراعية أو فنية، أو غيرها، عضلية كانت أو ذهنية. -العمل الأصلي: بالنسبة للأفراد: موضوع نشاطهم المعتاد، وبالنسبة للمنشآت: الأعمال التي أنشئت المنشأة من أجل القيام بها والمنصوص عليها في عقد تأسيسها أو في عقد الامتياز – إن كانت من شركات الامتياز – أو في السجل التجاري. -العمل المؤقت: العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعة إنجازه مدة محددة، أو ينصب على عمل بذاته وينتهي بانتهائه، ولا يتجاوز في الحالتين تسعين يوماً. -العمل العرضي: العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل في نشاطه المعتاد، ولا يستغرق تنفيذه أكثر من تسعين يوماً. -العمل الموسمي: العمل الذي يتم في مواسم دورية متعارف عليها. -العمل لبعض الوقت: العمل الذي يؤديه عامل غير متفرغ لدى صاحب عمل ولساعات عمل تقل عن نصف ساعات العمل اليومية المعتادة لدى المنشأة، سواء كان هذا العامل يؤدي ساعات عمله يومياً أو بعض أيام الأسبوع. -الخدمة المستمرة: خدمة العامل غير المنقطعة مع صاحب العمل نفسه أو خلفه النظامي، من تاريخ ابتداء الخدمة. وتعد الخدمة مستمرة في الحالات الآتية: 1.الإجازات والعطل المقررة نظاماً. 2.فترة الانقطاع لأداء الامتحانات وفقاً لما هو منصوص عليه في هذا النظام. 3.حالات غياب العامل عن عمله بدون أجر التي لا تزيد مدتها على عشرين يوماً متقطعة خلال سنة العمل. -الإسناد: خدمة توفير عامل للعمل لدى غير صاحب العمل وذلك من خلال منشأة مرخص لها لهذا الغرض. -الاستقالة: إفصاح العامل كتابة عن رغبته دون إكراه في إنهاء عقد عمل محدد المدة دون تعليق على قيد أو شرط، وقبول صاحب العمل بها. -الأجر الأساسي: كل ما يعطى للعامل مقابل عمله، بموجب عقد عمل مكتوب أو غير مكتوب، مهما كان نوع الأجر أو طريقة أدائه، مضافاً إليه العلاوات الدورية. -الأجر الفعلي: الأجر الأساسي مضافاً إليه سائر الزيادات المستحقة الأخرى التي تتقرر للعامل مقابل جهد بذله في العمل، أو مخاطر يتعرض لها في أداء عمله، أو التي تتقرر للعامل لقاء العمل بموجب عقد العمل أو لائحة تنظيم العمل. ومن ذلك: 1- العمولة، أو النسبة المئوية من المبيعات، أو النسبة المئوية من الأرباح، التي تدفع مقابل ما يقوم بتسويقه، أو إنتاجه، أو تحصيله، أو ما يحققه من زيادة الإنتاج أو تحسينه. 2- البدلات التي يستحقها العامل لقاء طاقة يبذلها، أو مخاطر يتعرض لها في أداء عمله. 3- الزيادات التي قد تمنح وفقاً لمستوى المعيشة، أو لمواجهة أعباء العائلة. 4- المنحة أو المكافأة: هي التي يعطيها صاحب العمل للعامل، وما يصرف له جزاء أمانته، أو كفايته، وما شابه ذلك، إذا كانت هذه المنحة أو المكافأة مقررة في عقد العمل، أو لائحة تنظيم العمل للمنشأة، أو جرت العادة بمنحها، حتى أصبح العمال يعدونها جزءاً من الأجر لا تبرعاً. 5- الميزات العينية: هي التي يلتزم صاحب العمل بتوفيرها للعامل مقابل عمله، بالنص عليها في عقد العمل أو في لائحة تنظيم العمل. وتقدر بحد أقصى يعادل الأجر الأساسي لمدة شهرين عن كل سنة ما لم تقدر في عقد العمل أو لائحة تنظيم العمل بما يزيد على ذلك. -الأجر: الأجر الفعلي. -المنشأة: كل مشروع يديره شخص طبيعي، أو اعتباري، يشغًل عاملاً أو أكثر، لقاء أجر أياً كان نوعه. -الشهر: ثلاثون يوماً ما لم ينص على خلاف ذلك في عقد العمل أو في لائحة تنظيم العمل. -اللائحة: اللائحة التنفيذية لهذا النظام.",653,3708,1,4f2961046b5fffdc637e2b7de4dfb1fd862ccc7b9f3069349681b04ff17df638,2,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,2,2,الباب الأول,التعريفات / الأحكام العامة,الفصل الأول,المادة الثانية :
STRUCT_000003,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 3
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الثالثة: رقم المادة: 3 حالة المادة: active النص: العمل حق للمواطن ، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام ، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه.",82,448,1,82f3c9791caa01e20aff6f25a0e169fbd07f8aa138625fe674d6df6824a31fda,3,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,3,3,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة الثالثة:
STRUCT_000004,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 4
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الرابعة: رقم المادة: 4 حالة المادة: active النص: يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الإلتزام بمقتضيات أحكام الشريعة الإسلامية .",48,287,1,3457807712bce4c43b55e497232052e55933f7fde19df543c46153e86ca95090,4,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,4,4,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة الرابعة:
STRUCT_000005,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 5
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الخامسة: رقم المادة: 5 حالة المادة: active النص: تسري أحكام هذا النظام على الآتي: كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه ؛ مقابل أجر. عمال الحكومة والهيئات والمؤسسات العامة ، بمن فيهم الذين يشتغلون في المراعي أو الزراعة . عمال المؤسسات الخيرية . عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام . العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير .",110,623,1,a03900ffe9b536bc7774b84e1eb41826aacf458ed3920b36e463e08ac8bde4cd,5,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,5,5,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة الخامسة:
STRUCT_000006,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 6
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة السادسة: رقم المادة: 6 حالة المادة: active النص: تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب ، والحد الأقصى لساعات العمل ، وفترات الراحة اليومية والراحة الأسبوعية ، والتشغيل الإضافي ، والعطلات الرسمية ، وقواعد السلامة ، والصحة المهنية ، وإصابات العمل والتعويض عنها ، وما يقرره الوزير .",76,462,1,1157999dfa071a7320606edb9b747429aa71cb7707dcaf5be88784d6c4e2f7ca,6,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,6,6,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة السادسة:
STRUCT_000007,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 7
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة السابعة : رقم المادة: 7 حالة المادة: active النص: 1- يستثنى من تطبيق أحكام هذا النظام كل من: أ‌- أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب‌- لاعبو الأندية والاتحادات الرياضية ومدربوها. ج‌- العمالة المنزلية ومن في حكمهم. د‌- عمال الزراعة والرعاة الخاصون ومن في حكمهم. ه‌- العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2- يصدر الوزير -بالتنسيق مع الجهات المختصة- لائحة أو أكثر للفئات الواردة في الفقرات الفرعية (أ) و(ج) و(د) و(ه) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة. واستثناء من حكم الفقرة (1) من هذه المادة؛ تطبَّق في شأن مخالفات أحكام تلك اللوائح العقوبات المنصوص عليها في المادة (التاسعة والعشرين بعد المائتين) من هذا النظام. 3- يُراعى أن تُضمَّن في اللوائح الصادرة في شأن الفئتين الواردتين في الفقرتين الفرعيتين (ج) و(د) من الفقرة (1) من هذه المادة الإجراءات والآليات التي تكفل تحسين أداء سوق العمالة للفئتين، وتنظيم حركة انتقالها، وتحديد المسؤوليات والواجبات التي تترتب على أصحاب العمل والمكاتب والشركات التي تقوم بالوساطة في التعاقد معها.",205,1221,1,c91b6c3872f87c320cac960229321ad90710d58e53361f20475d343cc1d88d2d,7,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,7,7,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة السابعة :
STRUCT_000008,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 8
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الثامنة: رقم المادة: 8 حالة المادة: active النص: يبطل كل شرط يخالف أحكام هذا النظام ، ويبطل كل إبراء ، أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام ، أثناء سريان عقد العمل ، ما لم يكن أكثر فائدة للعامل.",65,350,1,01eaca9a4fb7e0f5416045832b295fd64085a920f19266ff5bbc0236deddf41d,8,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,8,8,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة الثامنة:
STRUCT_000009,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 9
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة التاسعة: رقم المادة: 9 حالة المادة: active النص: اللغة العربية هي الواجبة الإستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام ، أو في أي قرار صادر تطبيقاً لأحكامه ، وكذلك التعليمات التي يصدرها صاحب العمل لعماله . وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة ، فإن النص العربي هو المعتمد دون غيره .",92,515,1,a0d5a1431be7e4fa5a4411f0ff8222e86afaf8a6e35b994667aae08b4cdfe963,9,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,9,9,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة التاسعة:
STRUCT_000010,safe_structural_chunking,"التعريفات / الأحكام العامة - الفصل الثاني - المادة 10
المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة العاشرة: رقم المادة: 10 حالة المادة: active النص: تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري ، مالم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك .",57,321,1,518e66de899a12d4203d77f4bdd3cdac022db77736feac05d635149e954e8dca,10,legal_article,نظام العمل السعودي,التعريفات / الأحكام العامة,indexing_allowed_active_law,10,10,الباب الأول,التعريفات / الأحكام العامة,الفصل الثاني,المادة العاشرة:
