eval_id,question,expected_answer,beneficiaries,sector,subsite,legal_category,source_name,source_url,eval_type,gold_source_type,gold_document_unit_id,gold_document_unit_ids,gold_article_number,gold_article_numbers,gold_article_title,is_out_of_scope,notes,has_valid_gold_article,eval_type_original,is_retrieval_eval,retrieval_eval_level,gold_validation_status,eval_type_for_retrieval,is_out_of_scope_bool,has_gold,gold_available_in_index
122,كم مدة فترة التجربة في نظام العمل السعودي؟,إذا كان العامل خاضعاً للتجربة، وجب النص على ذلك صراحة في عقد العمل، وتحديد مدتها بوضوح، على ألا يزيد مجموع المدة في جميع الأحوال على (مائة وثمانين) يوماً. وتبين اللائحة الأحكام المتصلة بذلك بما في ذلك ما يتعلق بالإجازات التي لا تدخل في حساب المدة. ولكل من الطرفين الحق في إنهاء العقد خلال هذه المدة.,,العمل,نظام العمل,Probation period,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576001,legal_article_retrieval,legal_article,b56e9c99f1c551928c8727dae90850186c14efc78d6272f429f0c448add3f3dc,b56e9c99f1c551928c8727dae90850186c14efc78d6272f429f0c448add3f3dc,53,53,المادة الثالثة والخمسون :,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
123,هل يجوز وضع العامل تحت التجربة أكثر من مرة لدى نفس صاحب العمل؟,لا يجوز وضع العامل تحت التجربة أكثر من مرة واحدة لدى صاحب عمل واحد . واستثناء من ذلك يجوز باتفاق طرفي العقد - كتابة - إخضاع العامل لفترة تجربة أخرى بشرط أن تكون في مهنة أخرى أو عمل آخر ، أو أن يكون قد مضى على انتهاء علاقة العامل بصاحب العمل مدة لا تقل عن ستة أشهر . وإذا أنهي العقد خلال فترة التجربة فإن أيًّا من الطرفين لا يستحق تعويضاً ، كما لا يستحق العامل مكافأة نهاية الخدمة عن ذلك .,,العمل,نظام العمل,Probation repetition,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576001,legal_article_retrieval,legal_article,ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142,ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142,54,54,المادة الرابعة والخمسون:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
124,ما الحد الأقصى لساعات العمل اليومية في نظام العمل؟,لا يجوز تشغيل العامل تشغيلاً فعلياً أكثر من ثماني ساعات في اليوم الواحد ، إذا اعتمد صاحب العمل المعيار اليومي ، أو أكثر من ثمان وأربعين ساعة في الأسبوع ، إذا اعتمد المعيار الأسبوعي. وتخفض ساعات العمل الفعلية خلال شهر رمضان للمسلمين ، بحيث لا تزيد على ست ساعات في اليوم ، أو ست وثلاثين ساعة في الأسبوع .,,العمل,نظام العمل,Working hours,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,98,المادة الثامنة والتسعون:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
125,ما الحد الأقصى لساعات العمل الأسبوعية؟,لا يجوز تشغيل العامل تشغيلاً فعلياً أكثر من ثماني ساعات في اليوم الواحد ، إذا اعتمد صاحب العمل المعيار اليومي ، أو أكثر من ثمان وأربعين ساعة في الأسبوع ، إذا اعتمد المعيار الأسبوعي. وتخفض ساعات العمل الفعلية خلال شهر رمضان للمسلمين ، بحيث لا تزيد على ست ساعات في اليوم ، أو ست وثلاثين ساعة في الأسبوع .,,العمل,نظام العمل,Weekly working hours,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,98,المادة الثامنة والتسعون:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
126,هل تختلف ساعات العمل في شهر رمضان؟,لا يجوز تشغيل العامل تشغيلاً فعلياً أكثر من ثماني ساعات في اليوم الواحد ، إذا اعتمد صاحب العمل المعيار اليومي ، أو أكثر من ثمان وأربعين ساعة في الأسبوع ، إذا اعتمد المعيار الأسبوعي. وتخفض ساعات العمل الفعلية خلال شهر رمضان للمسلمين ، بحيث لا تزيد على ست ساعات في اليوم ، أو ست وثلاثين ساعة في الأسبوع .,,العمل,نظام العمل,Ramadan working hours,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,98,المادة الثامنة والتسعون:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
127,ما مدة الإجازة السنوية المستحقة للعامل؟,يستحق العامل عن كل عام إجازة سنوية لا تقل مدتها عن واحد وعشرين يوماً ، تُزاد إلى مدة لا تقل عن ثلاثين يوماً إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة ، وتكون الإجازة بأجر يدفع مقدماً . يجب أن يتمتع العامل بإجازته في سنة استحقاقها ، ولا يجوز النزول عنها ، أو أن يتقاضى بدلاً نقدياً عوضاً عن الحصول عليها أثناء خدمته ، ولصاحب العمل أن يحدد مواعيد هذه الإجازات وفقاً لمقتضيات العمل ، أو يمنحها بالتناوب لكي يؤمن سير عمله ، وعليه إشعار العامل بالميعاد المحدد لتمتعه بالإجازة بوقت كافٍ لا يقل عن ثلاثين يوماً .,,العمل,نظام العمل,Annual leave,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,109,109,المادة التاسعة بعد المائة:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
128,متى تزيد الإجازة السنوية إلى ثلاثين يومًا؟,يستحق العامل عن كل عام إجازة سنوية لا تقل مدتها عن واحد وعشرين يوماً ، تُزاد إلى مدة لا تقل عن ثلاثين يوماً إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة ، وتكون الإجازة بأجر يدفع مقدماً . يجب أن يتمتع العامل بإجازته في سنة استحقاقها ، ولا يجوز النزول عنها ، أو أن يتقاضى بدلاً نقدياً عوضاً عن الحصول عليها أثناء خدمته ، ولصاحب العمل أن يحدد مواعيد هذه الإجازات وفقاً لمقتضيات العمل ، أو يمنحها بالتناوب لكي يؤمن سير عمله ، وعليه إشعار العامل بالميعاد المحدد لتمتعه بالإجازة بوقت كافٍ لا يقل عن ثلاثين يوماً .,,العمل,نظام العمل,Annual leave duration,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,109,109,المادة التاسعة بعد المائة:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
129,هل يستحق العامل أجرًا عن أيام الإجازة غير المستخدمة عند انتهاء العمل؟,للعامل الحق في الحصول على أجرة عن أيام الإجازة المستحقة إذا ترك العمل قبل استعماله لها وذلك بالنسبة إلى المدة التي لم يحصل على إجازته عنها كما يستحق أجرة الإجازة عن أجزاء السنة بنسبة ما قضاه منها في العمل.,,العمل,نظام العمل,Unused leave compensation,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,6e6c8673adaa51e0d5e36d8807155b8b4a11c80dbdacd9d0003d61cadafb2edd,6e6c8673adaa51e0d5e36d8807155b8b4a11c80dbdacd9d0003d61cadafb2edd,111,111,المادة الحادية عشرة بعد المائة:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
130,هل يستحق العامل إجازة عند الزواج أو وفاة أحد الأقارب؟,مع مراعاة اجازات المرأة العاملة المحددة بموجب هذا النظام، للعامل الحق في إجازة بأجر كامل لمدة (خمسة) أيام عند زواجه، أو في حالة وفاة زوجه أو أحد أصوله أو فروعه، و(ثلاثة) أيام في حالة وفاة الأخ أو الأخت؛ تحتسب جميعها من تاريخ الواقعة. و(ثلاثة) أيام في حالة ولادة مولود له خلال (سبعة) أيام من تاريخ الولادة. ويحق لصاحب العمل أن يطلب الوثائق المؤيدة لهذه الحالات.,,العمل,نظام العمل,Personal leave,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7,113,113,المادة الثالثة عشرة بعد المائة :,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
131,هل للعامل الحق في إجازة مرضية؟,للعامل الذي يثبت مرضه الحق في إجازة مرضية بأجر عن الثلاثين يوماً الأولى ، وبثلاثة أرباع الأجر عن الستين يوماً التالية ، ودون أجر للثلاثين يوماً التي تلي ذلك خلال السنة الواحدة ، سواء أكانت هذه الإجازات متصلة أم متقطعة . ويقصد بالسنة الواحدة : السنة التي تبدأ من تاريخ أول إجازة مرضية .,,العمل,نظام العمل,Sick leave,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576008,legal_article_retrieval,legal_article,2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f,2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f,117,117,المادة السابعة عشرة بعد المائة:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
132,ما حالات انتهاء عقد العمل؟,ينتهي عقد العمل في أي من الأحوال الآتية : إذا اتفق الطرفان على إنهائه ، بشرط أن تكون موافقة العامل كتابية . إذا انتهت المدة المحددة في العقد ، ما لم يكن العقد قد تجدد صراحة وفق أحكام هذا النظام ؛ فيستمر إلى أجله. بناءً على إرادة أحد الطرفين في العقود غير المحددة المدة ، وفقاً لما ورد في المادة (الخامسة والسبعين) من هذا النظام . 3(مكرر). الاستقالة. بلوغ العامل سن التقاعد وفق ما تقضي به أحكام نظام التأمينات الاجتماعية، ما لم يتفق الطرفان على الاستمرار في العمل بعد هذه السن. القوة القاهرة . إغلاق المنشاة نهائيًّا . إنهاء النشاط الذي يعمل فيه العامل ، ما لم يُتفق على غير ذلك . 7(مكرر). صدور قرار، أو حكم نهائي من المحكمة المختصة؛ بإنهاء عقد العامل في أي من إجراءات الإفلاس المفتتحة وفق نظام الإفلاس. أي حالة أخرى ينص عليها نظام آخر .,,العمل,نظام العمل,Contract termination,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576001,legal_article_retrieval,legal_article,c5fe5ae610393ddae09149a89430aca1a42c6dad1a6f45520c3ade29035a9590,c5fe5ae610393ddae09149a89430aca1a42c6dad1a6f45520c3ade29035a9590,74,74,المادة الرابعة والسبعون:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
133,ما مدة الإشعار عند إنهاء العقد غير محدد المدة؟,1- إذا كان العقد غير محدد المدة وكان الأجر يدفع شهريًّا، جاز لأي من طرفيه إنهاؤه بناءً على سبب مشروع، وفق ما يلي: أ- إذا كان الإنهاء من طرف العامل، فيجب عليه أن يوجه إشعارًا كتابيًّا بذلك لصاحب العمل قبل (ثلاثين) يوماً على الأقل من تاريخ الإنهاء. ب- إذا كان الإنهاء من طرف صاحب العمل، فيجب عليه أن يوجه إشعاراً كتابيًّا بذلك للعامل قبل (ستين) يوماً على الأقل من تاريخ الإنهاء. 2- إذا كان العقد غير محدد المدة وكان الأجر لا يدفع شهريًّا، فيجب أن يوجه الطرف الذي سيُنهي العقد بناءً على سبب مشروع -سواء كان العامل أو صاحب العمل- إشعاراً كتابيًّا بذلك للطرف الآخر قبل (ثلاثين) يوماً على الأقل من تاريخ الإنهاء.,,العمل,نظام العمل,Notice period,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576001,legal_article_retrieval,legal_article,7c9e26395726e0e83b0257107e4165be7e87f8192406099d51844352f5c313c0,7c9e26395726e0e83b0257107e4165be7e87f8192406099d51844352f5c313c0,75,75,المادة الخامسة والسبعون:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
134,متى يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع؟,"ما لم يتضمن العقد تعويضاً محدداً مقابل إنهائه من أحد الطرفين لسبب غير مشروع , يستحق الطرف المتضرر من إنهاء العقد تعويضاً على النحو الآتي : أجر خمسة عشر يوماً عن كل سنة من سنوات خدمة العامل , إذا كان العقد غير محدد المدة. أجر المدة الباقية من العقد إذا كان العقد محدد المدة . يجب ألا يقل التعويض المشار إليه في الفقرتين (1) و(2) من هذه المادة عن أجر العامل لمدة شهرين . أجر المدة الباقية من العقد إذا كان العقد محدد المدة . يجب ألا يقل التعويض المشار إليه في الفقرتين (1) و(2) من هذه المادة عن أجر العامل لمدة شهرين .",,العمل,نظام العمل,Unlawful termination,Manual Legal Evaluation,https://www.hrsd.gov.sa/node/5576001,legal_article_retrieval,legal_article,1b19a4fb2b4d423df5c66d04b1a372b80a041caaf759a0b8ba32555c20a6f902,1b19a4fb2b4d423df5c66d04b1a372b80a041caaf759a0b8ba32555c20a6f902,77,77,المادة السابعة والسبعون:,False,Manual legal question. ,True,legal_article_retrieval,True,legal_article,valid_gold_article,legal_article_retrieval,False,True,True
