rank,chunking_strategy,embedding_model,retriever,alpha,questions,recall_at_1,recall_at_3,recall_at_5,mrr,ndcg_at_5,avg_latency_sec,selection_score
1,fixed_size,e5_large,hybrid_reranker,0.8,24,0.625,0.9166666666666666,0.9583333333333334,0.7604166666666666,0.8135432204714393,0.5580011606216431,0.8601044774276212
2,fixed_size,bge_m3,hybrid_reranker,0.8,24,0.625,0.875,0.9583333333333334,0.7569444444444445,0.8106547437244974,0.5915977855523428,0.8583115043004551
3,structural,bge_m3,hybrid_reranker,0.8,24,0.5833333333333334,0.875,0.9166666666666666,0.7256944444444445,0.7773319602035834,0.6487269401550293,0.8219594475962722
4,structural,e5_large,hybrid_reranker,0.8,24,0.5833333333333334,0.875,0.9166666666666666,0.7256944444444445,0.7773319602035834,0.5675921340783437,0.8219594475962722
5,fixed_size,bge_m3,dense,,24,0.25,0.625,0.9166666666666666,0.48333333333333334,0.5903684656427476,0.01154958208401998,0.6997403597952162
6,structural,bge_m3,dense,,24,0.25,0.6666666666666666,0.875,0.4923611111111111,0.5880488882192051,0.012348959843317667,0.68368616653273
7,structural,bge_m3,hybrid,0.8,24,0.25,0.7083333333333334,0.875,0.4840277777777778,0.5818525417868111,0.02295815944671631,0.6795302305795845
8,fixed_size,bge_m3,hybrid,0.65,24,0.16666666666666666,0.7083333333333334,0.9166666666666666,0.43263888888888885,0.5526527628516794,0.025486469268798828,0.674454163681447
9,structural,bge_m3,hybrid,0.9,24,0.20833333333333334,0.6666666666666666,0.875,0.47361111111111115,0.5744969509029679,0.022760778665542603,0.6744132790694825
10,fixed_size,bge_m3,hybrid,0.9,24,0.20833333333333334,0.625,0.875,0.45625,0.5606976613584046,0.023053993781407673,0.665577032271681
11,fixed_size,bge_m3,hybrid,0.8,24,0.20833333333333334,0.6666666666666666,0.875,0.4527777777777778,0.5581307317065358,0.025818089644114178,0.6638483685635294
12,structural,bge_m3,hybrid,0.65,24,0.16666666666666666,0.6666666666666666,0.875,0.42083333333333334,0.5336454191366315,0.022632668415705364,0.6477707504939929
13,fixed_size,e5_large,hybrid,0.65,24,0.16666666666666666,0.5833333333333334,0.8333333333333334,0.41250000000000003,0.5172050050734525,0.02205708622932434,0.6228160010146906
14,structural,e5_large,hybrid,0.8,24,0.20833333333333334,0.625,0.7916666666666666,0.40347222222222223,0.49933434335380794,0.023688713709513348,0.5973321464485394
15,structural,e5_large,hybrid,0.65,24,0.16666666666666666,0.5833333333333334,0.7916666666666666,0.39305555555555555,0.49197875246996486,0.02241559823354085,0.5922151949384374
16,fixed_size,e5_large,dense,,24,0.20833333333333334,0.6666666666666666,0.75,0.40972222222222227,0.4952113387680257,0.012621909379959106,0.5799450455313829
17,fixed_size,e5_large,hybrid,0.8,24,0.20833333333333334,0.5833333333333334,0.75,0.40277777777777773,0.4894343852741418,0.023037294546763103,0.5763590992770505
18,structural,e5_large,hybrid,0.9,24,0.20833333333333334,0.625,0.75,0.3993055555555556,0.48686745562227296,0.025403430064519245,0.574630435568899
19,fixed_size,e5_large,hybrid,0.9,24,0.20833333333333334,0.625,0.75,0.3993055555555555,0.48686745562227296,0.025363624095916748,0.574630435568899
20,structural,e5_large,dense,,24,0.20833333333333334,0.5,0.75,0.3888888888888889,0.4782020253814471,0.0136146346728007,0.5692515161874006
21,fixed_size,none,bm25,,24,0.041666666666666664,0.3333333333333333,0.3333333333333333,0.17361111111111113,0.21477703199405365,0.0007868111133575439,0.25371929528769965
22,structural,none,bm25,,24,0.041666666666666664,0.3333333333333333,0.3333333333333333,0.1597222222222222,0.2038662191964322,0.0007517536481221517,0.2466760216170642
