model_key,model_name,eval_id,question_index,question,eval_type,expected_answer,is_out_of_scope,intent,gold_article_numbers,gold_article_numbers_parsed,top_article_number,cited_article_numbers,retrieved_article_hit,citation_hit,retrieval_reliable,top_score,top_source_type,top_context_preview,answer,answered,refusal,answer_correct,strict_legal_correct,lexical_groundedness_proxy,hallucination_proxy,voice_suitability_score,total_latency_sec,generation_latency_sec,retrieval_latency_sec,output_tokens,tokens_per_sec,runtime_error
allam_7b,ALLaM-7B-Instruct-preview,smalltalk_001,1,هلو,small_talk,N/A,False,small_talk,,N/A,N/A,N/A,,,True,,N/A,N/A,أهلًا بك. أنا مساعد ذكي تجريبي مخصص للإجابة عن الأسئلة المتعلقة بنظام العمل السعودي وخدمات وزارة الموارد البشرية والتنمية الاجتماعية، مع الاعتماد على مصادر رسمية مسترجعة من قاعدة المعرفة.,1,0,1,1,0.0,1,1.0,0.0001,0.0,0.0,29,,
allam_7b,ALLaM-7B-Instruct-preview,smalltalk_002,2,وش تقدر تساعدني؟,small_talk,N/A,False,small_talk,,N/A,N/A,N/A,,,True,,N/A,N/A,أهلًا بك. أنا مساعد ذكي تجريبي مخصص للإجابة عن الأسئلة المتعلقة بنظام العمل السعودي وخدمات وزارة الموارد البشرية والتنمية الاجتماعية، مع الاعتماد على مصادر رسمية مسترجعة من قاعدة المعرفة.,1,0,1,1,0.0,1,1.0,0.0001,0.0,0.0,29,,
allam_7b,ALLaM-7B-Instruct-preview,legal_uncertain_001,5,هل يحق للعامل الحصول على سيارة من الشركة؟,legal_article_retrieval,N/A,False,out_of_scope,,N/A,N/A,N/A,,,False,0.0,N/A,N/A,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.0,0,1.0,0.0001,0.0,0.0,23,,
allam_7b,ALLaM-7B-Instruct-preview,48,7,كيف يتم التأكد من قبل الوزارة على تحقق الاشتراطات في المحلات المخصصة للنساء؟,faq_retrieval,تقوم وزارة الموارد البشرية والتنمية الاجتماعية بحملات تفتيشية للتحقق من تطبيق أصحاب المحلات للقرار والالتزام بضوابطه.,False,unknown,,N/A,N/A,N/A,,,False,0.5924315893650054,faq,نوع المصدر: FAQ السؤال: ماهي الحقوق والواجبات العامة للمرأة العاملة؟ الإجابة الرسمية: على صاحب العمل في جميع الأماكن التي يعمل فيها نساء وفي جميع المهن أن يوفر لهن مقاعد تأمينًا لاستراحتهن. في المنشآت النسائية المغلقة يجب أن يكون العاملات من النساء فقط . على كل صاحب عمل يشغل خمسين عاملة فأكثر أن يهيئ مكانًا مناسبًا يتوافر فيه العدد الكافي من المربيات، لرعاية أطفال العاملات الذين تقل أعمارهم عن ست سنوات، وذلك إذا بلغ عدد الأطفال عشرة فأكثر. و يجوز للوزير أن يلزم صاحب العمل الذي يستخدم مائة عاملة ...,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.35,0,1.0,0.2805,0.0,0.28,23,,
allam_7b,ALLaM-7B-Instruct-preview,56,9,هل تتوفر نسخة من الدليل باللغة الانجليزية؟,faq_retrieval,جاري العمل على ذلك,False,unknown,,N/A,N/A,N/A,,,False,0.610710821301018,faq,نوع المصدر: FAQ السؤال: هل النسخة العربية وغير العربية متطابقة من حيث الخدمات والوظائف والعرض في الأنظمة؟ الإجابة الرسمية: نظام العمل متوفر بثلاث لغات (عربي، انجليزي، اردو)، وانظمة التنمية الاجتماعية والخدمة المدنية للسعوديين فقط (عربي) النص: المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل النسخة العربية وغير العربية متطابقة من حيث الخدمات والوظائف والعرض في الأنظمة؟ الإجابة: نظام العمل متوفر بثلاث لغات (عربي، انجليزي، اردو)، وانظمة الت...,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.3,0,1.0,0.2135,0.0,0.213,23,,
allam_7b,ALLaM-7B-Instruct-preview,74,12,هل يجوز للمعين على بند الأجور تأجير عقاره الذي يملكه على الجهة الحكومية التي يعمل بها؟,faq_retrieval,لا يجوز للعامل المعين على بند الأجور تأجير عقاره الذي يملكه على الجهة الحكومية التي يعمل بها وفقاً لقرار مجلس الوزراء رقم (11) وتاريخ 26/2/1400هـ الذي حظر التعامل مع موظفي الحكومة ومنهم العمال المعينين على بند الأجور.,False,unknown,,N/A,N/A,N/A,,,True,0.755258959531784,faq,نوع المصدر: FAQ السؤال: هل يجوز نقل العامل المعين على بند الأجور إلى إحدى الجهات الحكومية مع الاحتفاظ براتبه؟ الإجابة الرسمية: لا مانع من نقل العامل من جهة إلى أخرى على إحدى الوظائف المشمولة بلائحة المعينين على بند الأجور التي تتوفر لديه شروط شغلها مع احتفاظه براتبه عند النقل. النص: المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل يجوز نقل العامل المعين على بند الأجور إلى إحدى الجهات الحكومية مع الاحتفاظ براتب...,المعلومات المتاحة غير كافية للإجابة بدقة.,0,1,0,0,0.0,0,1.0,0.6107,0.3828,0.2249,10,26.1233,
allam_7b,ALLaM-7B-Instruct-preview,109,15,هل يشمل حكم المادة (41) من لائحة الحقوق والمزايا المالية الموظف الذي يستدعى من مقر عمله لمقابلته بهدف معرفة مدى صلاحيته للعمل خارج المملكة أو الالتحاق بإحدى الدورات التدريبية؟,faq_retrieval,طالما كان الاستدعاء بناءً على طلب الإدارة ويهدف لمصلحة العمل فإن ذلك يعتبر تكليفاً بمهمة، ويعامل في هذه الحالة معاملة الموظف المنتدب.,False,unknown,,N/A,"4, 8, 12, 14, 29, 39, 856, 1392, 1404, 14754",N/A,,,True,0.6561953719577379,faq,نوع المصدر: FAQ السؤال: ما مدى استحقاق الموظف لبدل الترحيل المنصوص عليه بالمادة (39/أ) من لائحة الحقوق والمزايا المالية إذا تم تعيينه خارج مقر عمله بموجب المؤهل العلمي الحاصل عليه وهو على رأس العمل؟ الإجابة الرسمية: طالما أن رغبة الموظف اتجهت إلى مرتبة الوظيفة المعين عليها بعد حصوله على المؤهل وليس على مكانها، فإنه لا يوجد ما يمنع من استحقاقه للبدل المشار إليه وذلك استناداً إلى تعميم وزارة المالية رقم (12/14754) وتاريخ 29/8/1392هـ المؤيد بقرار مجلس الخدمة المدنية رقم (856) وتاريخ 14/4/1404هـ. ال...,المعلومات المتاحة غير كافية للإجابة بدقة.,0,1,0,0,0.0,0,1.0,0.5566,0.3995,0.1542,10,25.033,
allam_7b,ALLaM-7B-Instruct-preview,19,16,هل هنالك مؤهلات محدده للانضمام للبرنامج؟,faq_retrieval,لا يوجد مؤهلات محددة في العمل عن بعد، لكن على حسب متطلبات كل شركة تحدد المؤهل المطلوب للوظائف المعروضة,False,small_talk,,N/A,N/A,N/A,,,True,,N/A,N/A,أهلًا بك. أنا مساعد ذكي تجريبي مخصص للإجابة عن الأسئلة المتعلقة بنظام العمل السعودي وخدمات وزارة الموارد البشرية والتنمية الاجتماعية، مع الاعتماد على مصادر رسمية مسترجعة من قاعدة المعرفة.,1,0,0,0,0.0,1,1.0,0.0,0.0,0.0,29,,
allam_7b,ALLaM-7B-Instruct-preview,63,17,آليه الحصول على التأشيرة بعد إطلاق المبادرة؟,faq_retrieval,عبر منصة أبشر وستتاح الخدمة في 14 مارس 2021,False,unknown,,N/A,N/A,N/A,,,False,0.6060114779289657,faq,نوع المصدر: FAQ السؤال: ما هو وضع العمالة التي يوجد عليها بلاغ تغيب قبل إطلاق المبادرة، هل يمكن لهم الاستفادة من المبادرة؟ الإجابة الرسمية: يتم التعامل معهم وفق الإجراءات المعمول بها حالياً. النص: المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما هو وضع العمالة التي يوجد عليها بلاغ تغيب قبل إطلاق المبادرة، هل يمكن لهم الاستفادة من المبادرة؟ الإجابة: يتم التعامل معهم وفق الإجراءات المعمول بها حالياً. نوع المصدر: FAQ ...,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.2,0,1.0,0.1463,0.0,0.146,23,,
allam_7b,ALLaM-7B-Instruct-preview,12,18,هل جميع السلالم ممكنة للجهات الحكومية؟,faq_retrieval,سلم الموظفين العام للمرتبة العاشرة فما دون,False,unknown,,N/A,"1, 2, 3, 28, 1399, 1430, 1435, 1811",N/A,,,False,0.5922999107837676,faq,نوع المصدر: FAQ السؤال: مدى شمول قرار مجلس الخدمة المدنية رقم (1/1811) وتاريخ 28/2/1435هـ لجميع سلالم الرواتب الوظيفية المعادلة لسلم رواتب الموظفين العام؟ الإجابة الرسمية: وفقاً لنص الفقرة (أولاً) من قراري مجلس الخدمة المدنية رقم (1/1399) وتاريخ 3/3/1430هـ ورقم (1/1811) وتاريخ 28/2/1435هـ فإن هذه المكافأة تقتصر على المعينين على سلم رواتب الموظفين العام. النص: المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: مدى ش...,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.2,0,1.0,0.2163,0.0,0.216,23,,
