category,metric,value,ci95,stage,note
Retrieval,Recall@1,0.8358,"[0.7861, 0.8856]",Stage 03/04,expanded legal set n=201
Retrieval,Recall@3,0.9403,"[0.9055, 0.9701]",Stage 03/04,expanded legal set n=201
Retrieval,Recall@5,0.9652,"[0.9403, 0.99]",Stage 03/04,expanded legal set n=201
Retrieval,MRR,0.8902,"[0.8522, 0.9246]",Stage 03/04,expanded legal set n=201
Retrieval,nDCG@5,0.9092,"[0.876, 0.939]",Stage 03/04,expanded legal set n=201
LLM,accuracy (ALLaM-7B-Instruct-preview),0.733,,Stage 05,
LLM,hallucination_proxy (ALLaM-7B-Instruct-preview),0.089,,Stage 05,
LLM,accuracy (Qwen2.5-7B-Instruct),0.689,,Stage 05,
LLM,hallucination_proxy (Qwen2.5-7B-Instruct),0.089,,Stage 05,
LLM,faithfulness (ALLaM-7B-Instruct-preview),0.841,"[0.75, 0.932]",Stage 06,
LLM,faithfulness (Qwen2.5-7B-Instruct),0.895,"[0.789, 0.974]",Stage 06,
Statistics,ALLaM vs Qwen (McNemar p),0.625,,Stage 06,not significant
Voice,WER,0.198,,Stage 07,synthetic speech
Voice,CER,0.046,,Stage 07,synthetic speech
Latency,"Current (large-v3, full answer)",4.07,,Stage 09,seconds
Latency,Optimized (small ASR + capped tokens),3.03,,Stage 09,seconds
Latency,Perceived with streaming (time-to-first-audio),0.95,,Stage 09,seconds
Ablation,wrong-citation rate (No-RAG),0.25,,Stage 08,
Ablation,wrong-citation rate (RAG),0.042,,Stage 08,
