output_name,path,exists
generation_evaluation_detailed_csv,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\generation_evaluation_detailed.csv,True
generation_evaluation_detailed_xlsx,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\generation_evaluation_detailed.xlsx,True
llm_comparison_overall_csv,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\llm_comparison_overall.csv,True
llm_comparison_overall_xlsx,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\llm_comparison_overall.xlsx,True
llm_comparison_by_type_csv,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\llm_comparison_by_type.csv,True
llm_comparison_by_type_xlsx,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\llm_comparison_by_type.xlsx,True
generation_error_analysis_csv,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\generation_error_analysis.csv,True
generation_error_analysis_xlsx,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\generation_error_analysis.xlsx,True
voice_layer_demo_csv,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\voice_layer_demo.csv,True
voice_layer_demo_xlsx,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\voice_layer_demo.xlsx,True
best_llm_config_json,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\best_llm_config.json,True
stage04_config_json,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\stage04_config.json,True
stage04_output_manifest_csv,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\stage04_output_manifest.csv,True
stage04_output_manifest_xlsx,C:\Users\PC\Desktop\data collection code\saudi_labor_law_voice_agent_project\09_stage04_llm_generation_results\stage04_output_manifest.xlsx,True
