qid,question,candidates
14,هل يحق لصاحب العمل نقل العامل إلى مدينة أخرى؟,م58: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الثامنة والخمسون: النص: لا يجوز لصاحب العمل أن
15,ما حقوق العامل المصاب بإصابة عمل؟,م137: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م133: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م29: المصدر: نظام العمل السعودي الباب الثاني - تنظيم عمليات التوظيف الفصل الثاني المادة التاسعة والعشرون: النص: إذا أصيب أي ع | م140: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد
16,ما التزامات صاحب العمل تجاه العامل؟,م61: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثاني المادة الحادية والستون: النص: بالإضافة إلى الواجبات  | م11: المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الحادية عشرة: النص: إذا عهد صاحب | م64: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثاني المادة الرابعة والستون: النص: يلتزم صاحب العمل عند إ | م172: المصدر: نظام العمل السعودي الباب الحادي عشر - عقد العمل البحري المادة الثانية والسبعون بعد المائة: النص: يجب أن تعلن في 
17,ما الواجبات التي يلتزم بها العامل في عمله؟,م65: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثاني المادة الخامسة والستون: النص: بالإضافة إلى الواجبات  | م61: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثاني المادة الحادية والستون: النص: بالإضافة إلى الواجبات  | م11: المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الحادية عشرة: النص: إذا عهد صاحب | م64: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثاني المادة الرابعة والستون: النص: يلتزم صاحب العمل عند إ | م95: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة الخامسة والتسعون: النص: إذا لم ينص عقد ال
18,هل يحق للعامل الحصول على شهادة خبرة عند انتهاء العمل؟,م64: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثاني المادة الرابعة والستون: النص: يلتزم صاحب العمل عند إ | م115: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الخامسة عشرة بعد المائة: النص: للعامل -  | م48: المصدر: نظام العمل السعودي الباب الرابع - التدريب والتأهيل الفصل الثاني المادة الثامنة والأربعون: النص: لصاحب العمل أن ي
19,هل يمكن للعامل الحصول على إجازة بدون أجر؟,م116: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة السادسة عشرة بعد المائة: النص: يجوز للعا | م115: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الخامسة عشرة بعد المائة: النص: للعامل -  | م114: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الرابعة عشرة بعد المائة: النص: للعامل ال
20,كم مدة إجازة الزواج للعامل؟,م113: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الثالثة عشرة بعد المائة : النص: مع مراعا | م114: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الرابعة عشرة بعد المائة: النص: للعامل ال | م151: المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الحادية والخمسون بعد المائة: النص: للمرأة العاملة الحق في 
21,ما مدة الإجازة عند وفاة أحد أقارب العامل؟,م113: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الثالثة عشرة بعد المائة : النص: مع مراعا
22,هل يجوز تشغيل النساء في الليل؟,م163: المصدر: نظام العمل السعودي الباب العاشر - تشغيل الأحداث المادة الثالثة والستون بعد المائة: النص: يحظر تشغيل الأحداث أثنا | م154: المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الرابعة والخمسون بعد المائة: النص: يحق للمرأة العاملة عندم | م158: المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الثامنة والخمسون بعد المائة: النص: على صاحب العمل في جميع  | م155: المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الخامسة والخمسون بعد المائة: النص: لا يجوز لصاحب العمل فصل
23,ما فترات الراحة والصلاة أثناء العمل؟,م101: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الثالث المادة الأولى بعد المائة: النص: تنظم ساعات العم | م102: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الثالث المادة الثانية بعد المائة: النص: لا تدخل الفترا | م103: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الثالث المادة الثالثة بعد المائة: النص: للوزير أن يحدد | م104: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الثالث المادة الرابعة بعد المائة: النص: يوم الجمعة يوم | م154: المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الرابعة والخمسون بعد المائة: النص: يحق للمرأة العاملة عندم
24,هل يستحق العامل أجراً في أيام الأعياد والعطل الرسمية؟,م107: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الثالث المادة السابعة بعد المائة: النص: يجب على صاحب ا
25,ما حقوق العامل بدوام جزئي؟,م92: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة الثانية والتسعون: النص: لا يجوز حسم أي مب | م56: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة السادسة والخمسون: النص: في جميع الحالات التي ي
