experiment,corpus,method,eval_index,question,evaluable,hit_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,latency_ms,top1_doc_id,top1_article_number,top1_source_type,top1_score,top1_text_preview
Structural + Dense,structural,dense,0,هل يمكن إلغاء الفاتورة؟,True,1.0,True,True,True,1.0,99.42,253,,faq,0.8409548997879028,"المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | المواطنين | كبار السن | مقيمين | قطاع التنمية الاجتماعية | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل أستطيع إلغاء الموعد؟ الإجابة: نعم, يكن للمستفيد إلغاء الموعد"
Structural + Dense,structural,dense,1,ما هي المهن الاجتماعية المستهدفة بالخدمة؟,True,1.0,True,True,True,1.0,44.65,765,,faq,0.8510658144950867,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: من هم الفئة المستهدفة من الخدمة؟ الإجابة: الأسر الحاضنة للايتام المسجلين في نظام الوزارة
Structural + Dense,structural,dense,2,ماهو بند العقد الخاضع للتنفيذ لعقد العمل الموثق سندًا تنفيذيًا؟,True,1.0,True,True,True,1.0,39.76,249,,faq,0.881992757320404,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي مراحل التطبيق على العقود الموثقة لعقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: سيتم تطبيق نموذج عقد العمل الموحد الجديد (سند تنفيذي) بمنصة قوى على ثلاث مراحل: المرحلة الأولى: تشمل العقود الجديدة (العلاقة التعاقدية الجديد
Structural + Dense,structural,dense,3,كم عدد المواعيد التي يمكنني حجزها؟,True,1.0,True,True,True,1.0,42.69,378,,faq,0.839641809463501,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كم عدد العقود التي يمكن للفرد توقيعها؟ الإجابة: لا يوجد عدد محدد للعقود بشرط الا يكون هناك تعارض فيما بينها
Structural + Dense,structural,dense,4,ما هي قنوات الخدمة لبطاقة امتياز لكبار السن؟,True,1.0,True,True,True,1.0,40.29,254,,faq,0.8651095628738403,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: شروط الحصول على بطاقة امتياز لكبار السن؟ الإجابة: أن يكون سعودي الجنسية. أن يكون سعودي الجنسية. أن يكون بلغ الستين عامًا فأكثر. أن يكون بلغ الستين عامًا فأكثر.
Structural + Dense,structural,dense,5,ما هي العلاقة بين المؤتمر ورؤية المملكة 2030؟,True,1.0,True,True,True,1.0,17.69,281,,faq,0.8236342072486877,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما أهمية المؤتمر لسوق العمل في المملكة العربية السعودية؟ الإجابة: يسهم المؤتمر في تعزيز مكانة المملكة كمنصة عالمية للحوار حول سوق العمل، كما يتيح فرصة لتطوير سياسات التوظيف الوطنية بما يتماشى مع التحولات الاقتصادية والتكنولوجية. لتكون على إطل
Structural + Dense,structural,dense,6,أين يمكنني الاطلاع على القرارات والأنظمة الوزارة ؟,True,1.0,True,True,True,1.0,25.2,286,,faq,0.8460004329681396,"المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل يمكنني الاطلاع على الأخبار الرسمية؟ الإجابة: لتكون على إطلاع دائم بجديد الوزارة, واخر الأحداث اضغط هنا. لتكون على إطلاع دائم بجديد الوزارة, واخر الأحداث متابعة صفحة الأخبار"
Structural + Dense,structural,dense,7,كيف يمكنني التأكد من أن الحسابات التي أتابعها هي الحسابات الرسمية لوزارة الموارد البشرية والتنمية الاجتماعية؟,True,1.0,True,True,True,1.0,11.19,288,,faq,0.8692383766174316,"المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: ما هي الحسابات الرسمية للوزارة على مواقع التواصل الاجتماعي؟ الإجابة: تعرف على حساباتنا عبر قنوات التواصل الاجتماعي اضغط هنا. لتكون على إطلاع دائم بجديد الوزارة, واخر الأحداث متابعة صفحة الأخبار"
Structural + Dense,structural,dense,8,ما هي التطبيقات الرسمية التابعة لوزارة الموارد البشرية والتنمية الاجتماعية؟,True,1.0,True,True,True,1.0,10.68,294,,faq,0.8454378247261047,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل توفر وزارة الموارد البشرية والتنمية الاجتماعية الخدمة في المراكز المجتمعية ومكاتب البريد والمكتبات والأكشاك الإجابة: توفر وزارة الموارد البشرية والتنمية الاجتماعية خدماتها عبر الموقع الرسمي و تطبيق الوزارة .
Structural + Dense,structural,dense,9,الأسئلة الشائعة على كيفية تحويل رواتب العمالة الرقمية عبر المحافظ الرقمية؟,True,1.0,True,True,True,1.0,14.4,410,,faq,0.8475269079208374,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: في حال تحويل الرواتب عبر البنك، كيف أحصل على ملف حماية الأجور؟ الإجابة: تقدم بطلب من المصرف للحصول على ملف الأجور موقّع إلكترونيًا ثم قم بزيارة منصة مُدد والتسجيل واختيار المنشأة ورفع ملف الأجور بعد إدخال البيانات الصحيحة المطل
