question,answer,model_name,eval_type,voice_suitability_score,top_article_number,top_source_type
هلو,أهلًا بك. أنا مساعد ذكي تجريبي مخصص للإجابة عن الأسئلة المتعلقة بنظام العمل السعودي وخدمات وزارة الموارد البشرية والتنمية الاجتماعية، مع الاعتماد على مصادر رسمية مسترجعة من قاعدة المعرفة.,ALLaM-7B-Instruct-preview,small_talk,1.0,N/A,N/A
وش تقدر تساعدني؟,أهلًا بك. أنا مساعد ذكي تجريبي مخصص للإجابة عن الأسئلة المتعلقة بنظام العمل السعودي وخدمات وزارة الموارد البشرية والتنمية الاجتماعية، مع الاعتماد على مصادر رسمية مسترجعة من قاعدة المعرفة.,ALLaM-7B-Instruct-preview,small_talk,1.0,N/A,N/A
كم سعر البيت في الرياض؟,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,ALLaM-7B-Instruct-preview,out_of_scope,1.0,N/A,N/A
ما حكم الطلاق؟,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,ALLaM-7B-Instruct-preview,out_of_scope,1.0,N/A,N/A
ماهي حقوق العامل في الإجازة المرضیة؟,وفقًا للمادة رقم 117 من نظام العمل السعودي، يحق للعامل الحصول على إجازة مرضية بأجر عن الثلاثين يومًا الأولى، وبثلاثة أرباع الأجر عن الستين يومًا التالية، ودون أجر للثلاثين يومًا التي تلي ذلك خلال السنة الواحدة، سواء أكانت هذه الإجازات متصلة أم متقطعة.,ALLaM-7B-Instruct-preview,faq_retrieval,1.0,N/A,faq
ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟,يتم توثيق عقد العمل الموثق سندًا تنفيذيًا عبر منصة قوى، حيث تتقدم المنشأة بطلب توثيق العقد أو تحديث العقود القائمة. بعد موافقة كلا الطرفين على العقد، يكتسب العقد الصبغة التنفيذية عبر التكامل التقني مع وزارة العدل بطريقة مؤتمتة.,ALLaM-7B-Instruct-preview,faq_retrieval,1.0,N/A,faq
هل يتم احتساب الفرد الذي يعمل لدى أكثر من منشأة في نفس الوقت ضمن نسبة التوطين؟,يتم الاحتساب على كيان المنشأة، حيث يعرف الكيان بأنه الصفة التي ستتعامل معها الوزارة لأغراض حساب التوطين وتمثل جميع الفروع لنشاط اقتصادي واحد مملوكة لمنشأة واحدة.,ALLaM-7B-Instruct-preview,faq_retrieval,1.0,N/A,faq
من يدفع رسوم الإقامة ورخص العمل في النظام الجديد العامل أم صاحب العمل؟,وفقًا للمادة رقم 40 من نظام العمل السعودي، يتحمل صاحب العمل رسوم الإقامة ورخصة العمل وتجديدهما، بالإضافة إلى أي غرامات ناتجة عن تأخير ذلك، ورسوم تغيير المهنة، والخروج والعودة، وتذكرة عودة العامل إلى موطنه بعد انتهاء العلاقة بين الطرفين. كما يتحمل العامل تكاليف عودته إلى بلده في حالة عدم صلاحيته للعمل أو إذا رغب في العودة دون سبب مشروع.,ALLaM-7B-Instruct-preview,faq_retrieval,1.0,"1, 2, 3, 4, 40",faq
هل تمكن البوابة والانظمة التابعة لها المستخدم من الوصول إلى البيانات الشخصية؟,نعم، تمكن البوابة والأنظمة التابعة لها المستخدم من الوصول إلى البيانات الشخصية وتعديلها.,ALLaM-7B-Instruct-preview,faq_retrieval,1.0,N/A,faq
كيف اتابع الشكوى وما هي الوثائق المطلوبة؟,وفقًا للمادة رقم 122 من نظام العمل السعودي، يتم متابعة الشكوى من خلال مكتب العمل الذي يعمل فيه الموظف، حيث يتم تقديم الشكوى للمدير المباشر، وفي حال عدم الإفادة، على العميل التوجه إلى وزارة الموارد البشرية والتنمية الاجتماعية وتقديم إفادة مكتوبة بخصوص المشكلة، مع إقرار بصحة المعلومات، مرفقةً ببياناته الكاملة.,ALLaM-7B-Instruct-preview,faq_retrieval,1.0,N/A,faq
هل يحق لصاحب العمل نقل العامل من مكان عمله الأصلي؟,وفقًا للمادة رقم 58 من نظام العمل السعودي، لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته - كتابةً - من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,58,legal_article
كيف يتم دفع أجر العامل؟,وفقًا للمادة رقم 90 من نظام العمل السعودي، يجب دفع أجر العامل وكل مبلغ مستحق له بالعملة الرسمية للبلاد، وفقًا للأحكام التالية: العمال باليومية تُصرف أجورهم مرة كل أسبوع على الأقل، والعمال ذوو الأجور الشهرية تُصرف أجورهم مرة في الشهر. إذا كان العمل يؤدى بالقطعة ويحتاج لمدة تزيد على أسبوعين، فيجب أن يحصل العامل على دفعة كل أسبوع تتناسب مع مقدار الإنتاج.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,90,legal_article
ما مدة الإشعار عند إنهاء العقد غير محدد المدة؟,وفقًا للمادة رقم 75 من نظام العمل السعودي، يجب أن يتم الإشعار قبل ستين يومًا إذا كان أجر العامل يدفع شهريًا، وقبل ثلاثين يومًا إذا كان الأجر يدفع بشكل مختلف.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,"80, 81, 117",faq
هل للعامل الحق في إجازة مرضية؟,وفقًا للمادة رقم 117 من نظام العمل السعودي، للعامل الذي يثبت مرضه الحق في إجازة مرضية بأجر عن الثلاثين يومًا الأولى، وبثلاثة أرباع الأجر عن الستين يومًا التالية، ودون أجر للثلاثين يومًا التي تلي ذلك خلال السنة الواحدة، سواء أكانت هذه الإجازات متصلة أم متقطعة.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,117,legal_article
متى يجوز لصاحب العمل إنهاء العقد دون مكافأة أو تعويض؟,وفقًا للمادة رقم 182 من نظام العمل السعودي، يجوز لصاحب العمل إنهاء العقد دون سبق إعلان وبغير تعويض إذا ألغيت الرحلة قبل بدئها بسبب ليس لمجهز السفينة إرادة فيه، وكان الأجر على أساس الرحلة الواحدة، ما لم ينص في العقد على غير ذلك.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,"80, 81, 117",faq
هل يجوز وضع العامل تحت التجربة أكثر من مرة لدى نفس صاحب العمل؟,وفقًا للمادة رقم 54 من نظام العمل السعودي، لا يجوز وضع العامل تحت التجربة أكثر من مرة واحدة لدى نفس صاحب العمل.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,54,legal_article
ما الحد الأقصى لساعات العمل الإضافية وكيف تُحتسب؟,وفقًا للمادة رقم 107 من نظام العمل السعودي، يجب على صاحب العمل أن يدفع للعامل أجرًا إضافيًا عن ساعات العمل الإضافية يوازي أجر الساعة مضافًا إليه 50% من أجره الأساسي، ويجوز لصاحب العمل بموافقة العامل أن يحتسب للعامل أيام إجازة تعويضية مدفوعة الأجر بدلًا عن الأجر المستحق للعامل لساعات العمل الإضافية.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,720,faq
ما مدة الإجازة السنوية المستحقة للعامل؟,وفقًا للمادة رقم 109 من نظام العمل السعودي، يستحق العامل عن كل عام إجازة سنوية لا تقل مدتها عن واحد وعشرين يومًا، تُزاد إلى مدة لا تقل عن ثلاثين يومًا إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة، وتكون الإجازة بأجر يدفع مقدمًا.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,"20, 109, 111",faq
ما الحد الأقصى لساعات العمل اليومية في نظام العمل؟,وفقًا للمادة رقم 106 من نظام العمل السعودي، لا يجوز تشغيل العامل تشغيلًا فعليًّا أكثر من 8 ساعات في اليوم الواحد، إذا اعتمد صاحب العمل المعيار اليومي، أو أكثر من 48 ساعة في الأسبوع، إذا اعتمد المعيار الأسبوعي. وتخفض ساعات العمل الفعلية خلال شهر رمضان للمسلمين، بحيث لا تزيد على 6 ساعات في اليوم، أو 36 ساعة في الأسبوع.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,106,legal_article
متى يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع؟,وفقًا للمادة رقم 77 من نظام العمل السعودي، يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع، ما لم يتضمن العقد تعويضًا محددًا مقابل إنهائه من أحد الطرفين. في هذه الحالة، يستحق الطرف المتضرر تعويضًا على النحو التالي: أجر خمسة عشر يومًا عن كل سنة من سنوات خدمة العامل إذا كان العقد غير محدد المدة، وأجر المدة الباقية من العقد إذا كان العقد محدد المدة.,ALLaM-7B-Instruct-preview,legal_article_retrieval,1.0,77,legal_article
