faq_id,question,answer,beneficiaries,sector,subsite,page_number,page_url,source,searchable_text,source_type,source_name,legal_category,document_unit_id,text_for_indexing,normalized_text,faq_domain_label,faq_filter_reason,keep_for_rag,keep_for_eval
4,كيف أقدم طلب تعديل فئة مهنية؟,من خلال تسجيل الدخول ← الخدمات ← اختيار “طلب تعديل الفئة المهنية” ← تعبئة النموذج ← إرسال الطلب.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: كيف أقدم طلب تعديل فئة مهنية؟ الإجابة: من خلال تسجيل الدخول ← الخدمات ← اختيار “طلب تعديل الفئة المهنية” ← تعبئة النموذج ← إرسال الطلب.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,cc6e9febbf279b2ef3f918b5f577a00c1b3aa387c9586eb0c0fd5041c1ea6a5f,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: كيف أقدم طلب تعديل فئة مهنية؟ الإجابة: من خلال تسجيل الدخول ← الخدمات ← اختيار “طلب تعديل الفئة المهنية” ← تعبئة النموذج ← إرسال الطلب.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: كيف اقدم طلب تعديل فيه مهنيه؟ الاجابه: من خلال تسجيل الدخول الخدمات اختيار طلب تعديل الفيه المهنيه تعبيه النموذج ارسال الطلب.,review_labor_related,"Social-development professional classification FAQ; kept for manual review, not direct labor-law RAG.",False,False
6,من يمكنه التقديم على خدمة تعديل الفئة المهنية؟,الممارس الحاصل على ترخيص من خلال خدمة التسجيل والتصنيف المهني.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: من يمكنه التقديم على خدمة تعديل الفئة المهنية؟ الإجابة: الممارس الحاصل على ترخيص من خلال خدمة التسجيل والتصنيف المهني.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,101eb80686e1dc09293a4571ab0df39062cef6648a5070096c97efe5291e7b81,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: من يمكنه التقديم على خدمة تعديل الفئة المهنية؟ الإجابة: الممارس الحاصل على ترخيص من خلال خدمة التسجيل والتصنيف المهني.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: من يمكنه التقديم علي خدمه تعديل الفيه المهنيه؟ الاجابه: الممارس الحاصل علي ترخيص من خلال خدمه التسجيل والتصنيف المهني.,review_labor_related,Weak labor signal; requires manual review before indexing or evaluation.,False,False
19,هل الخدمة (التسجيل والتصنيف المهني) فورية؟,تقديم الطلب فوري، أما الطلب فيخضع للمراجعة.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,2,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: هل الخدمة (التسجيل والتصنيف المهني) فورية؟ الإجابة: تقديم الطلب فوري، أما الطلب فيخضع للمراجعة.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,b6f54dcbbc2a7f9667836c5de258646e984a10e60655194ded7c683d07b3a7d0,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: هل الخدمة (التسجيل والتصنيف المهني) فورية؟ الإجابة: تقديم الطلب فوري، أما الطلب فيخضع للمراجعة.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: هل الخدمه (التسجيل والتصنيف المهني) فوريه؟ الاجابه: تقديم الطلب فوري، اما الطلب فيخضع للمراجعه.,review_labor_related,"Social-development professional classification FAQ; kept for manual review, not direct labor-law RAG.",False,False
20,من يمكنه التقديم على الخدمة (التسجيل والتصنيف المهني)؟,يمكن لأي ممارس حاصل على مؤهل علمي أو دورة تدريبية في مجال التخصصات الاجتماعية التقديم على الخدمة عبر المنتج.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,2,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: من يمكنه التقديم على الخدمة (التسجيل والتصنيف المهني)؟ الإجابة: يمكن لأي ممارس حاصل على مؤهل علمي أو دورة تدريبية في مجال التخصصات الاجتماعية التقديم على الخدمة عبر المنتج.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,b76268b4f60317c0abd6ba926305487b071db8464105d0bfb6dcf68169da2acb,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: من يمكنه التقديم على الخدمة (التسجيل والتصنيف المهني)؟ الإجابة: يمكن لأي ممارس حاصل على مؤهل علمي أو دورة تدريبية في مجال التخصصات الاجتماعية التقديم على الخدمة عبر المنتج.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: من يمكنه التقديم علي الخدمه (التسجيل والتصنيف المهني)؟ الاجابه: يمكن لاي ممارس حاصل علي موهل علمي او دوره تدريبيه في مجال التخصصات الاجتماعيه التقديم علي الخدمه عبر المنتج.,review_labor_related,"Social-development professional classification FAQ; kept for manual review, not direct labor-law RAG.",False,False
21,ما هي خدمة التسجيل والتصنيف المهني؟,هي خدمة تتيح للممارس الاجتماعي التقديم إلكترونيًا للحصول على التسجيل والتصنيف المهني عبر منتج التخصصات الاجتماعية.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,2,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: ما هي خدمة التسجيل والتصنيف المهني؟ الإجابة: هي خدمة تتيح للممارس الاجتماعي التقديم إلكترونيًا للحصول على التسجيل والتصنيف المهني عبر منتج التخصصات الاجتماعية.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,370296a2e31e01e77451b4345072d706cd52ba023c5d2dd2141be3e99e3de1b5,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ما هي خدمة التسجيل والتصنيف المهني؟ الإجابة: هي خدمة تتيح للممارس الاجتماعي التقديم إلكترونيًا للحصول على التسجيل والتصنيف المهني عبر منتج التخصصات الاجتماعية.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: ما هي خدمه التسجيل والتصنيف المهني؟ الاجابه: هي خدمه تتيح للممارس الاجتماعي التقديم الكترونيا للحصول علي التسجيل والتصنيف المهني عبر منتج التخصصات الاجتماعيه.,review_labor_related,"Social-development professional classification FAQ; kept for manual review, not direct labor-law RAG.",False,False
25,متى ستبدأ الرقابة على منافذ الخدمة للمهنة الواردة في القرار؟,في التاريخ المحدد لتطبيق وتنفيذ القرار.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: متى ستبدأ الرقابة على منافذ الخدمة للمهنة الواردة في القرار؟ الإجابة: في التاريخ المحدد لتطبيق وتنفيذ القرار.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,06ca86e549c5c347e7f144f96bbb40fa0d4cbf01599f4f1ecd0089b806278aa6,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: متى ستبدأ الرقابة على منافذ الخدمة للمهنة الواردة في القرار؟ الإجابة: في التاريخ المحدد لتطبيق وتنفيذ القرار.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: متي ستبدا الرقابه علي منافذ الخدمه للمهنه الوارده في القرار؟ الاجابه: في التاريخ المحدد لتطبيق وتنفيذ القرار.,review_labor_related,Weak labor signal; requires manual review before indexing or evaluation.,False,False
27,هل يطبق القرار على مسمى المهنة فقط، أو على العمل الفعلي للعامل؟,يتم تطبيق القرار على المسميات المهنية والعمل الفعلي للعامل.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: هل يطبق القرار على مسمى المهنة فقط، أو على العمل الفعلي للعامل؟ الإجابة: يتم تطبيق القرار على المسميات المهنية والعمل الفعلي للعامل.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,c4112d91ef914347fc42a3cbe70ec14a8c4f49653d57543431090c71d556409c,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل يطبق القرار على مسمى المهنة فقط، أو على العمل الفعلي للعامل؟ الإجابة: يتم تطبيق القرار على المسميات المهنية والعمل الفعلي للعامل.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: هل يطبق القرار علي مسمي المهنه فقط، او علي العمل الفعلي للعامل؟ الاجابه: يتم تطبيق القرار علي المسميات المهنيه والعمل الفعلي للعامل.,review_labor_related,Weak labor signal; requires manual review before indexing or evaluation.,False,False
98,ماهي أوقات العمل الرسمية للفروع؟,يمكنكم معرفة أوقات العمل الرسمية للفروع عن طريق دليل الفروع اضغط هنا.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,9,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: ماهي أوقات العمل الرسمية للفروع؟ الإجابة: يمكنكم معرفة أوقات العمل الرسمية للفروع عن طريق دليل الفروع اضغط هنا.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,271c55cb0f0f2d621adfb634fce4722dc68011cfcef490eec0337fb3104fcedb,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: ماهي أوقات العمل الرسمية للفروع؟ الإجابة: يمكنكم معرفة أوقات العمل الرسمية للفروع عن طريق دليل الفروع اضغط هنا.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: ماهي اوقات العمل الرسميه للفروع؟ الاجابه: يمكنكم معرفه اوقات العمل الرسميه للفروع عن طريق دليل الفروع اضغط هنا.,review_labor_related,Weak labor signal; requires manual review before indexing or evaluation.,False,False
130,هل توجد وظائف لايمكن التعاقد عليها لغير السعوديين؟,نعم و التي صدرت الأنظمة بحصر التوظيف عليها للسعوديين,أفراد | العمالة المنزلية | كبار السن,قطاع الخدمة المدنية (العام),مركز الرياض للسياسات السلوكية,11,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أفراد | العمالة المنزلية | كبار السن قطاع الخدمة المدنية (العام) مركز الرياض للسياسات السلوكية السؤال: هل توجد وظائف لايمكن التعاقد عليها لغير السعوديين؟ الإجابة: نعم و التي صدرت الأنظمة بحصر التوظيف عليها للسعوديين,faq,HRSD FAQ,أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية,b9e6acc783451c9f2bf7b1aba5777f8416ee0cd39d3673c8845964141883e677,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: هل توجد وظائف لايمكن التعاقد عليها لغير السعوديين؟ الإجابة: نعم و التي صدرت الأنظمة بحصر التوظيف عليها للسعوديين,المصدر: HRSD FAQ التصنيف: افراد العماله المنزليه كبار السن قطاع الخدمه المدنيه (العام) مركز الرياض للسياسات السلوكيه السوال: هل توجد وظايف لايمكن التعاقد عليها لغير السعوديين؟ الاجابه: نعم و التي صدرت الانظمه بحصر التوظيف عليها للسعوديين,review_labor_related,Weak labor signal; requires manual review before indexing or evaluation.,False,False
136,ماهي الإجراءات لطلب تحديث بيانات موظف؟,من خلال الدخول على الخدمة وتقديم طلب تحديث بيانات,أفراد | العمالة المنزلية | كبار السن,قطاع الخدمة المدنية (العام),مركز الرياض للسياسات السلوكية,12,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أفراد | العمالة المنزلية | كبار السن قطاع الخدمة المدنية (العام) مركز الرياض للسياسات السلوكية السؤال: ماهي الإجراءات لطلب تحديث بيانات موظف؟ الإجابة: من خلال الدخول على الخدمة وتقديم طلب تحديث بيانات,faq,HRSD FAQ,أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية,65bb4ddd1b550741b63b9e53f8b27c50fbdd1deaafaba37dd4352395cd868068,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ماهي الإجراءات لطلب تحديث بيانات موظف؟ الإجابة: من خلال الدخول على الخدمة وتقديم طلب تحديث بيانات,المصدر: HRSD FAQ التصنيف: افراد العماله المنزليه كبار السن قطاع الخدمه المدنيه (العام) مركز الرياض للسياسات السلوكيه السوال: ماهي الاجراءات لطلب تحديث بيانات موظف؟ الاجابه: من خلال الدخول علي الخدمه وتقديم طلب تحديث بيانات,review_labor_related,Weak labor signal; requires manual review before indexing or evaluation.,False,False
