file_group,file_name,file_path,exists,size_kb,status
data_or_report,clean_labor_law_articles.csv,saudi_labor_law_voice_agent_project\02_clean\clean_labor_law_articles.csv,True,802.42,OK
data_or_report,clean_labor_law_articles_active_only_for_rag.csv,saudi_labor_law_voice_agent_project\02_clean\clean_labor_law_articles_active_only_for_rag.csv,True,767.77,OK
data_or_report,clean_labor_law_articles_repealed_archive_not_indexed.csv,saudi_labor_law_voice_agent_project\02_clean\clean_labor_law_articles_repealed_archive_not_indexed.csv,True,41.62,OK
data_or_report,clean_hrsd_faq_classified.csv,saudi_labor_law_voice_agent_project\02_clean\clean_hrsd_faq_classified.csv,True,2369.33,OK
data_or_report,clean_hrsd_faq_classified_with_domain_filter.csv,saudi_labor_law_voice_agent_project\02_clean\clean_hrsd_faq_classified_with_domain_filter.csv,True,2431.59,OK
data_or_report,clean_hrsd_faq_labor_related_strict.csv,saudi_labor_law_voice_agent_project\02_clean\clean_hrsd_faq_labor_related_strict.csv,True,1527.32,OK
data_or_report,hrsd_faq_indexing_set.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_indexing_set.csv,True,1299.51,OK
data_or_report,hrsd_faq_evaluation_set.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_evaluation_set.csv,True,401.37,OK
data_or_report,hrsd_faq_labor_related_clean.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_labor_related_clean.csv,True,1527.32,OK
data_or_report,hrsd_faq_labor_eval_eligible.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_labor_eval_eligible.csv,True,1527.32,OK
data_or_report,hrsd_faq_excluded_non_labor.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_excluded_non_labor.csv,True,725.3,OK
data_or_report,hrsd_faq_manual_review_needed.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_manual_review_needed.csv,True,179.46,OK
data_or_report,hrsd_faq_for_rag_labor_filtered.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_for_rag_labor_filtered.csv,True,1706.54,OK
data_or_report,hrsd_faq_for_eval_labor_filtered.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_for_eval_labor_filtered.csv,True,1527.32,OK
data_or_report,hrsd_faq_full_labor_filtered_production.csv,saudi_labor_law_voice_agent_project\03_final\hrsd_faq_full_labor_filtered_production.csv,True,1706.54,OK
data_or_report,rag_knowledge_base_dataset_experiment_no_leakage_active_law_only.csv,saudi_labor_law_voice_agent_project\03_final\rag_knowledge_base_dataset_experiment_no_leakage_active_law_only.csv,True,1756.81,OK
