eval_id,model_key,model_name,eval_type,faithfulness,answer_relevance,judge_reason
45,allam_7b,ALLaM-7B-Instruct-preview,faq_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحل السؤال بشكل صحيح.
5,allam_7b,ALLaM-7B-Instruct-preview,faq_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحتوي على المعلومات المطلوبة دون إضافة معلومات غير متعلقة.
27,allam_7b,ALLaM-7B-Instruct-preview,faq_retrieval,3.0,2.0,الإجابة غير متماسكة مع السياق. السياق يتحدث عن كيفية حساب نسبة التوطين لكيانات مملوكة لمنشأة واحدة، وليس حول فرد يعمل في أكثر من منشأة.
65,allam_7b,ALLaM-7B-Instruct-preview,faq_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحتوي على المعلومات المطلوبة.
11,allam_7b,ALLaM-7B-Instruct-preview,faq_retrieval,3.0,4.0,الإجابة تحتوي على معلومات صحيحة من السياق لكنها غير كاملة. السياق يؤكد على قدرة المستخدم على الوصول إلى البيانات الشخصية وتعديلها، لكن الإجابة تركز فقط على الوصول دون الإشارة إلى التعديل.
41,allam_7b,ALLaM-7B-Instruct-preview,faq_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، وتلخص المعلومات المطلوبة بشكل صحيح ودقيق.
19,allam_7b,ALLaM-7B-Instruct-preview,faq_retrieval,3.0,1.0,الإجابة لا ترد على السؤال المطروح حول المؤهلات اللازمة للانضمام للبرنامج، بل تتحدث عن الفئات المتاحة للانضمام لبرنامج العمل عن بعد.
138,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم، حيث تم تقديم النص الدستوري المتعلق بمنع نقل العامل بغير موافقته كتابة من مكان عمله الأصلي.
122,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,3.0,2.0,الإجابة لا ترد بشكل دقيق على السؤال المطروح، حيث أن السؤال يسأل عن مدة فترة التجربة وليس شروطها. بالإضافة إلى ذلك، تحتوي الإجابة على معلومات إضافية غير مطلوبة مثل استثناءات تمديد فترة التجربة.
140,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم، حيث تلخص كيفية دفع أجر العامل كما ورد في المادة 90 من نظام العمل السعودي.
133,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، وتلخص المدة اللازمة للإشعار عند إنهاء العقد غير المحدد المدة بشكل دقيق.
131,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحل السؤال بشكل صحيح.
135,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، وتستند مباشرة إلى المادة القانونية المرجعية.
123,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، حيث تؤكد على عدم جواز وضع العامل تحت التجربة أكثر من مرة واحدة لدى نفس صاحب العمل وفقاً للمادة 54 من نظام العمل السعودي.
143,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحتوي على المعلومات المطلوبة.
127,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم وتحتوي على المعلومات المطلوبة حول مدة الإجازة السنوية المستحقة للعامل.
124,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,3.0,5.0,الإجابة تحتوي على معلومات غير دقيقة من السياق المسترجع، حيث ذكرت ساعات العمل الإضافية في السنة بدلاً من الحد الأقصى لساعات العمل اليومية. الإجابة تلبي السؤال بشكل صحيح لكن تحتوي على معلومات خاطئة من السياق.
134,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم وتحدد بشكل دقيق متى يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع.
137,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحتوي على المعلومات المطلوبة حول استحقاق مكافأة نهاية الخدمة.
125,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,3.0,4.0,الإجابة تتبع السياق بشكل جيد لكنها لم تذكر الحد الأقصى لساعات العمل الإضافية خلال العام كما طلب السؤال.
126,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتعالج سؤالاً محدداً حول ساعات العمل في شهر رمضان.
144,allam_7b,ALLaM-7B-Instruct-preview,legal_article_retrieval,3.0,2.0,الإجابة لا تجيب بشكل مباشر على السؤال عن أحكام السلامة والصحة المهنية في بيئة العمل، بل تقدم معلومات عامة عن نظام العمل السعودي وخدمات التظلمات. بالإضافة إلى ذلك، تحتوي على معلومات غير ذات صلة مثل خدمة التظلمات.
45,qwen_7b,Qwen2.5-7B-Instruct,faq_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحل السؤال بشكل صحيح.
