eval_id,eval_type,expected_source,question,gold_document_unit_ids,original_top5_ids,original_top5_sources,source_aware_top5_ids,source_aware_hit_at_1,source_aware_hit_at_3,source_aware_hit_at_5,source_aware_rr,source_aware_ndcg_at_5,source_aware_first_match_rank,latency_sec
FAQ_INDEXED_RETRIEVAL_0001,faq_paraphrase_retrieval,faq,أريد معرفة ما إذا كانت توفر البوابة المعلومات ومجموعة الخدمات الخاصة بالمرأة؟,1d2d4109d0423311606722e82dfd41c20a7f7742c83169619385ec8d2a4c2155,1d2d4109d0423311606722e82dfd41c20a7f7742c83169619385ec8d2a4c2155|bcd59ea196f07391bc7f6211d1a34a379aabe298dbce627cb35730d6d9a94f51|5d4b007a1cabc286063fd6b2e27c8fdf7ff5173befb7906c8dd8d028ed4dce1d|443780e1f80ef2e4a0deb2bd7ca7c6ae8cc133113fccbaa3a179d1374997f403|05543c0820c2cfa8fe2d9b672fd36dff12388d0aafda49c6978f1364b7e99054,faq|faq|faq|faq|faq,1d2d4109d0423311606722e82dfd41c20a7f7742c83169619385ec8d2a4c2155|bcd59ea196f07391bc7f6211d1a34a379aabe298dbce627cb35730d6d9a94f51|5d4b007a1cabc286063fd6b2e27c8fdf7ff5173befb7906c8dd8d028ed4dce1d|443780e1f80ef2e4a0deb2bd7ca7c6ae8cc133113fccbaa3a179d1374997f403|05543c0820c2cfa8fe2d9b672fd36dff12388d0aafda49c6978f1364b7e99054,1,1,1,1.0,1.0,1.0,0.380218505859375
FAQ_INDEXED_RETRIEVAL_0002,faq_paraphrase_retrieval,faq,أريد توضيح الحكم النظامي بخصوص: ماهي أوقات العمل الرسمية للفروع؟,271c55cb0f0f2d621adfb634fce4722dc68011cfcef490eec0337fb3104fcedb,271c55cb0f0f2d621adfb634fce4722dc68011cfcef490eec0337fb3104fcedb|1157999dfa071a7320606edb9b747429aa71cb7707dcaf5be88784d6c4e2f7ca|5a356cdb0bebaddc4e75f9c17283d8015c2bb4ae6571eb8c393aba98e267920f|e4d470e6c895aa67ddcc96c01053ca76ea671eef5bb06b15c750fe1c5c6a5369|26c5fbcf2d3973b70e2c2f734e4da38b64509a0ac22f01dd8c93a198573206d1,faq|legal_article|legal_article|legal_article|legal_article,271c55cb0f0f2d621adfb634fce4722dc68011cfcef490eec0337fb3104fcedb,1,1,1,1.0,1.0,1.0,0.28474926948547363
FAQ_INDEXED_RETRIEVAL_0003,faq_paraphrase_retrieval,faq,أريد توضيح الحكم النظامي بخصوص: شاهدتُ حالة عنف وقعت أمامي، ماذا أفعل؟,8f9d950f458be122538bbb4a6e889159595c47b5b21a723af28c00e7166a1468,8f9d950f458be122538bbb4a6e889159595c47b5b21a723af28c00e7166a1468|85fde281846d284f912abad11175cb901d1823b6e0cdef5adc846a06de79df9c|4f2961046b5fffdc637e2b7de4dfb1fd862ccc7b9f3069349681b04ff17df638|3faa40187393f2d6ff9b6d6cec0e6873173fe08352831d7a7e1d883f3a7db2a8|fe8036eac0c0ba1f7dfce67fb8f7b51cca0aefb2b07c16c8cf95f0b275acbee1,faq|faq|legal_article|legal_article|faq,8f9d950f458be122538bbb4a6e889159595c47b5b21a723af28c00e7166a1468|85fde281846d284f912abad11175cb901d1823b6e0cdef5adc846a06de79df9c|fe8036eac0c0ba1f7dfce67fb8f7b51cca0aefb2b07c16c8cf95f0b275acbee1,1,1,1,1.0,1.0,1.0,0.6900882720947266
FAQ_INDEXED_RETRIEVAL_0004,faq_paraphrase_retrieval,faq,أريد معرفة ما إذا كان يتم احتساب الفرد الذي يعمل لدى أكثر من منشأة في نفس الوقت ضمن نسبة التوطين؟,a78f94c86dd92b762fcc3c865abb5182e6facb506a9d5512a0f44e5b9c30e184,a78f94c86dd92b762fcc3c865abb5182e6facb506a9d5512a0f44e5b9c30e184|b0ba92ac7c9f773c8c38209272d49570f60ed5f90a4bf7ab85545435733fed29|d6ea21b70b4d6437c87cea50ba136352fc501085419c4c322286014b8cb2e799|3a81a798b51c9875415b667de5749201499490fc3a0865768bee3de62091722e|c96352320e519533ec7ed00a5e843a2ee414629ea6586cd6b059bf28e7644f94,faq|faq|faq|faq|faq,a78f94c86dd92b762fcc3c865abb5182e6facb506a9d5512a0f44e5b9c30e184|b0ba92ac7c9f773c8c38209272d49570f60ed5f90a4bf7ab85545435733fed29|d6ea21b70b4d6437c87cea50ba136352fc501085419c4c322286014b8cb2e799|3a81a798b51c9875415b667de5749201499490fc3a0865768bee3de62091722e|c96352320e519533ec7ed00a5e843a2ee414629ea6586cd6b059bf28e7644f94,1,1,1,1.0,1.0,1.0,0.27506041526794434
FAQ_INDEXED_RETRIEVAL_0005,faq_paraphrase_retrieval,faq,هل يستطيع إصدار تأشيرة لجنسية أو مهنة غير مدرجة في مساند؟,ac0493e4a60d1923d3e181202d0bfd389b31023b65ec159be502aee177c1a7a3,ac0493e4a60d1923d3e181202d0bfd389b31023b65ec159be502aee177c1a7a3|2f4eea80f000604efbd2df75024e38585299da915411a66d6eeebfc078be2b45|5f9d83f3a575df27540c8d3c4af388bf61fa5012001bbe0fd410b39adb2d5204|519975c6e1d666802afd82015e412a87b72ebfc35625c9b31491a21d624d28d1|576555c050481c114ddd96d00344f2afde8b631d0f0eb7b4cc1bce4d741bf0e1,faq|faq|faq|faq|legal_article,ac0493e4a60d1923d3e181202d0bfd389b31023b65ec159be502aee177c1a7a3|2f4eea80f000604efbd2df75024e38585299da915411a66d6eeebfc078be2b45|5f9d83f3a575df27540c8d3c4af388bf61fa5012001bbe0fd410b39adb2d5204|519975c6e1d666802afd82015e412a87b72ebfc35625c9b31491a21d624d28d1,1,1,1,1.0,1.0,1.0,0.45207810401916504
FAQ_INDEXED_RETRIEVAL_0006,faq_paraphrase_retrieval,faq,أريد معرفة ما إذا كان يتم إيواء المرأة التي تعرضت للعنف؟,4b4e32fe41f1745800e5617e787e755d1bd2198efdceb01bb0f43a814b09205a,4b4e32fe41f1745800e5617e787e755d1bd2198efdceb01bb0f43a814b09205a|85fde281846d284f912abad11175cb901d1823b6e0cdef5adc846a06de79df9c|fdbb6c893cfde89c80f0db2a97b02779b0faf251ae12651b55ae267bc700fd3d|8f9d950f458be122538bbb4a6e889159595c47b5b21a723af28c00e7166a1468|0422b8b071432b0a272fa4bad131a043e81a3a372207e78330633bf8018a9822,faq|faq|faq|faq|faq,4b4e32fe41f1745800e5617e787e755d1bd2198efdceb01bb0f43a814b09205a|85fde281846d284f912abad11175cb901d1823b6e0cdef5adc846a06de79df9c|fdbb6c893cfde89c80f0db2a97b02779b0faf251ae12651b55ae267bc700fd3d|8f9d950f458be122538bbb4a6e889159595c47b5b21a723af28c00e7166a1468|0422b8b071432b0a272fa4bad131a043e81a3a372207e78330633bf8018a9822,1,1,1,1.0,1.0,1.0,0.45495176315307617
FAQ_INDEXED_RETRIEVAL_0007,faq_paraphrase_retrieval,faq,أريد توضيح الحكم النظامي بخصوص: ما مدى امكانية الجمع بين المكافأة المقطوعة للمستشارين غير المتفرغين ومكافأة العمل خارج وقت الدوام الرسمي وأيام العطل الرسمية والأعياد؟,486f8265889bb1cb71b039ce24e5d65ba171764ac0fd47ef3693ce9d9b64c9b6,486f8265889bb1cb71b039ce24e5d65ba171764ac0fd47ef3693ce9d9b64c9b6|3601b726fee9518b82fa8eec6bbc14b207e6eebc11f8d239d14480c2ee24abff|ba32d3405db89ca4685824ad8cd07423974e4e661eba4d9f8701b2a714f4c1ae|d38ddc1a5542b3c07b780ac241dd0367fdfed54f2a60097fbdc7ab5cc3d2c5c7|492cc82a54ddeab08518183b626f6b01c0a27b89b908c63b1db2d2fbdd5536e0,faq|faq|faq|faq|faq,486f8265889bb1cb71b039ce24e5d65ba171764ac0fd47ef3693ce9d9b64c9b6|3601b726fee9518b82fa8eec6bbc14b207e6eebc11f8d239d14480c2ee24abff|ba32d3405db89ca4685824ad8cd07423974e4e661eba4d9f8701b2a714f4c1ae|d38ddc1a5542b3c07b780ac241dd0367fdfed54f2a60097fbdc7ab5cc3d2c5c7|492cc82a54ddeab08518183b626f6b01c0a27b89b908c63b1db2d2fbdd5536e0,1,1,1,1.0,1.0,1.0,0.3028573989868164
FAQ_INDEXED_RETRIEVAL_0008,faq_paraphrase_retrieval,faq,أريد معرفة ما إذا كان الخدمة تتيح تحديث بيانات العامل؟,efee6aee87704b6999b8578223366ee7497784934576b50a92d7e4493d8133d9,efee6aee87704b6999b8578223366ee7497784934576b50a92d7e4493d8133d9|65bb4ddd1b550741b63b9e53f8b27c50fbdd1deaafaba37dd4352395cd868068|888e39bfc2f21b2ed78d3b648d26150c9737ce04a7004010d898d7d433c9a117|7f81cd3c5fe470535b1c65952f22fe04293266fcfecef972015291b3f3ccfa95|3bd22efd40a50fd37fe62428fe33778eb4918ea6a0fa8dd2e47cea459f83d393,faq|faq|faq|faq|faq,efee6aee87704b6999b8578223366ee7497784934576b50a92d7e4493d8133d9|65bb4ddd1b550741b63b9e53f8b27c50fbdd1deaafaba37dd4352395cd868068|888e39bfc2f21b2ed78d3b648d26150c9737ce04a7004010d898d7d433c9a117|7f81cd3c5fe470535b1c65952f22fe04293266fcfecef972015291b3f3ccfa95|3bd22efd40a50fd37fe62428fe33778eb4918ea6a0fa8dd2e47cea459f83d393,1,1,1,1.0,1.0,1.0,0.2842373847961426
FAQ_INDEXED_RETRIEVAL_0009,faq_paraphrase_retrieval,faq,أريد توضيح الحكم النظامي بخصوص: ماهي خدمة قرار مكافأة الطلبة الجامعين لذوي الإعاقة؟,79cfa8fd63a7d91b82f3805b9e15f894c8ee5ab0e56ef344a0c328a6455fdf45,79cfa8fd63a7d91b82f3805b9e15f894c8ee5ab0e56ef344a0c328a6455fdf45|c36a8ab9aa47f27ec0a08bdd83d1185b2f11f0eedd1e84f0b4e4adc71a74bd7d|b0e58ccb77455af6b13aa31213577924e24c8a4bf058fcaba5258ec096737855|78a8eab36dc2513e59397ed00f1e8ed742c2490ff38c38c423ed5ba3c80f3024|b4306cf75d2fc6a99b4df3ec03ca846d7bbd05f501b705a503aab220094f2ac3,faq|faq|faq|faq|faq,79cfa8fd63a7d91b82f3805b9e15f894c8ee5ab0e56ef344a0c328a6455fdf45|c36a8ab9aa47f27ec0a08bdd83d1185b2f11f0eedd1e84f0b4e4adc71a74bd7d|b0e58ccb77455af6b13aa31213577924e24c8a4bf058fcaba5258ec096737855|78a8eab36dc2513e59397ed00f1e8ed742c2490ff38c38c423ed5ba3c80f3024|b4306cf75d2fc6a99b4df3ec03ca846d7bbd05f501b705a503aab220094f2ac3,1,1,1,1.0,1.0,1.0,0.47534847259521484
FAQ_INDEXED_RETRIEVAL_0010,faq_paraphrase_retrieval,faq,أريد توضيح الحكم النظامي بخصوص: العديد يطالبون بشرح البرنامج وشرح للدليل الإجرائي بشكل مبسط وواضح؟,88c5634d5ce67afabafadfa5ac0f6e59e58a20ee6ddd2a52ea39b4f1bd7eaa7b,88c5634d5ce67afabafadfa5ac0f6e59e58a20ee6ddd2a52ea39b4f1bd7eaa7b|4f2961046b5fffdc637e2b7de4dfb1fd862ccc7b9f3069349681b04ff17df638|e36b8ac5a1f0b840c89caae73a2f3892728f6a9162ba8f96a862c135d084b477|c91b6c3872f87c320cac960229321ad90710d58e53361f20475d343cc1d88d2d|519975c6e1d666802afd82015e412a87b72ebfc35625c9b31491a21d624d28d1,faq|legal_article|faq|legal_article|faq,88c5634d5ce67afabafadfa5ac0f6e59e58a20ee6ddd2a52ea39b4f1bd7eaa7b|e36b8ac5a1f0b840c89caae73a2f3892728f6a9162ba8f96a862c135d084b477|519975c6e1d666802afd82015e412a87b72ebfc35625c9b31491a21d624d28d1,1,1,1,1.0,1.0,1.0,0.7015271186828613
