eval_id,eval_type,diagnostic_method,question,gold_article_numbers,parsed_gold_articles,original_top5_article_numbers,parsed_top5_article_numbers,full_hit_at_1,full_hit_at_3,full_hit_at_5,full_rr,full_ndcg_at_5,diagnostic_hit_at_1,diagnostic_hit_at_3,diagnostic_hit_at_5,diagnostic_rr,diagnostic_ndcg_at_5,diagnostic_first_match_rank,latency_sec
FAQ_INDEXED_RETRIEVAL_0001,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقة يمكنني إلغاء أو تعديل طلب تغيير المهنة؟,,,nan|nan|nan|nan|235.0,235,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,1.3764739036560059
FAQ_INDEXED_RETRIEVAL_0002,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة الطريقة المتبعة لتسديد قسط التأمين؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.33517026901245117
FAQ_INDEXED_RETRIEVAL_0003,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقةية معاملة محرم الموظفة عند مرافقتها أثناء ابتعاثها للدراسة أو التدريب أو ايفادها للدراسة في الداخل أو انتدابها؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3402726650238037
FAQ_INDEXED_RETRIEVAL_0004,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ماهي أهداف برنامج نطاقات المطور؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3091437816619873
FAQ_INDEXED_RETRIEVAL_0005,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى إمكانية الجمع بين بدل المهنة المنصوص عليه في المادة (51) من لائحة الحقوق والمزايا المالية وبين مكافأة التدريب التي تصرف بموجب المادة (249) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.36617040634155273
FAQ_INDEXED_RETRIEVAL_0006,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف أحيل للتحقيق أثناء إجراء المفاضلة لغرض الترقية ثم صدر حكم ديوان المظالم بعدم ادانته بما نسب إليه فهل يمكن النظر في ترقيته؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.34891557693481445
FAQ_INDEXED_RETRIEVAL_0007,faq_paraphrase_retrieval,full_corpus_reference_for_faq,ما طريقة يتم احتساب أجر الساعات الإضافية؟,,,nan|107.0|nan|nan|nan,107,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.30056333541870117
FAQ_INDEXED_RETRIEVAL_0008,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل مسموح تعيين العمال بصفة مؤقتة طبقاً للائحة المعينين على بند الأجور؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3316037654876709
FAQ_INDEXED_RETRIEVAL_0009,faq_paraphrase_retrieval,full_corpus_reference_for_faq,هل يستطيع احتساب أيام المراجعة للمستشفيات داخل مقر العمل أو خارجه إجازة مرضية أو إجازة مرفقة؟,,,nan|nan|117.0|nan|nan,117,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3385653495788574
FAQ_INDEXED_RETRIEVAL_0010,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: اعرف حقوق العمال؟,,,nan|18.0|7.0|nan|81.0,18|7|81,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3228938579559326
FAQ_INDEXED_RETRIEVAL_0011,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: في حال تم رصد مخالفات في ملف الأجور، أين أجد تفاصيل المخالفة وتنبيهات السجلات؟,,,nan|nan|71.0|nan|nan,71,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3373863697052002
FAQ_INDEXED_RETRIEVAL_0012,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما المقصود من كون عمال المستشفيات ضمن المساعدين الفنيين ومن هم عمال المستشفيات الذين يندرجون تحت هذه المجموعة؟,,,nan|7.0|11.0|nan|nan,7|11,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3574848175048828
FAQ_INDEXED_RETRIEVAL_0013,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف قدم للرياض للالتحاق بدورة تدريبية وبعد انتهاء الفترة التدريبية عاد إلى مقر عمله الأصلي وفي أثناء الطريق حصل عليه حادث توفي بسببه، هل يستحق ورثته التعويض المنصوص عليه بالمادة (35) من لائحة الحقوق والمزايا المالية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3811337947845459
FAQ_INDEXED_RETRIEVAL_0014,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان يخصم بدل المواصلات من راتب الإجازة السنوية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3303391933441162
FAQ_INDEXED_RETRIEVAL_0015,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: موظف استقال من وظيفة بالمرتبة الرابعة ومن ثم عاد للخدمة على المرتبة الخامسة بعد نجاحه في المسابقة، ما مدى إمكانية احتفاظه بما كان يتقاضاه من راتب حين كان يشغل المرتبة الرابعة؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.35555171966552734
FAQ_INDEXED_RETRIEVAL_0016,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة عقد العمل؟,,,nan|nan|nan|50.0|83.0,50|83,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.2994682788848877
FAQ_INDEXED_RETRIEVAL_0017,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة ما إذا كان تحسم رواتب العطل الرسمية والأعياد إذا سبقها غياب ولحقها غياب على ضوء تعميم وزارة الخدمة المدنية رقم 33708/15 وتاريخ 23/12/1410هـ؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3564419746398926
FAQ_INDEXED_RETRIEVAL_0018,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد معرفة العمل المرن؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3156139850616455
FAQ_INDEXED_RETRIEVAL_0019,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: ما مدى جواز منح الموظف المنقول بترقية الدرجة الإضافية المنصوص عليها بالمادة (18/ب) من نظام الخدمة المدنية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3437035083770752
FAQ_INDEXED_RETRIEVAL_0020,faq_paraphrase_retrieval,full_corpus_reference_for_faq,أريد توضيح الحكم النظامي بخصوص: في حالة غياب الموظف عن العمل وإيقاع عقوبة تأديبية عليه بسبب ذلك فهل تحتسب أيام الغياب التي عوقب عنها ضمن أيام الغياب التي يجوز للإدارة طي قيد الموظف وفقاً للمادة (226) من اللائحة التنفيذية للموارد البشرية في الخدمة المدنية؟,,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3787209987640381
FAQ_INDEXED_RETRIEVAL_0021,faq_paraphrase_retrieval,full_corpus_reference_for_faq,"ما طريقة يتم طلب المدرب الاختياري قبل التقدم بطلب شهادة ""مواءمة""؟",,,nan|nan|nan|nan|nan,,1,1,1,1.0,1.0,1,1,1,1.0,1.0,,0.3108236789703369
