model_key,model_name,eval_id,question_index,question,eval_type,expected_answer,is_out_of_scope,intent,gold_article_numbers,gold_article_numbers_parsed,top_article_number,cited_article_numbers,retrieved_article_hit,citation_hit,retrieval_reliable,top_score,top_source_type,top_context_preview,answer,answered,refusal,answer_correct,strict_legal_correct,lexical_groundedness_proxy,hallucination_proxy,voice_suitability_score,total_latency_sec,generation_latency_sec,retrieval_latency_sec,output_tokens,tokens_per_sec,runtime_error
allam_7b,ALLaM-7B-Instruct-preview,smalltalk_001,1,هلو,small_talk,N/A,False,small_talk,,N/A,N/A,N/A,,,True,,N/A,N/A,أهلًا بك. أنا مساعد ذكي تجريبي مخصص للإجابة عن الأسئلة المتعلقة بنظام العمل السعودي وخدمات وزارة الموارد البشرية والتنمية الاجتماعية، مع الاعتماد على مصادر رسمية مسترجعة من قاعدة المعرفة.,1,0,1,1,0.0,1,1.0,0.0001,0.0,0.0,29,,
allam_7b,ALLaM-7B-Instruct-preview,smalltalk_002,2,وش تقدر تساعدني؟,small_talk,N/A,False,small_talk,,N/A,N/A,N/A,,,True,,N/A,N/A,أهلًا بك. أنا مساعد ذكي تجريبي مخصص للإجابة عن الأسئلة المتعلقة بنظام العمل السعودي وخدمات وزارة الموارد البشرية والتنمية الاجتماعية، مع الاعتماد على مصادر رسمية مسترجعة من قاعدة المعرفة.,1,0,1,1,0.0,1,1.0,0.0001,0.0,0.0,29,,
allam_7b,ALLaM-7B-Instruct-preview,oos_001,3,كم سعر البيت في الرياض؟,out_of_scope,N/A,True,out_of_scope,,N/A,N/A,N/A,,,False,0.0,N/A,N/A,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,1,1,0.0,0,1.0,0.0001,0.0,0.0,23,,
allam_7b,ALLaM-7B-Instruct-preview,oos_002,4,ما حكم الطلاق؟,out_of_scope,N/A,True,out_of_scope,,N/A,N/A,N/A,,,False,0.0,N/A,N/A,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,1,1,0.0,0,1.0,0.0001,0.0,0.0,23,,
allam_7b,ALLaM-7B-Instruct-preview,legal_uncertain_001,5,هل يحق للعامل الحصول على سيارة من الشركة؟,legal_article_retrieval,N/A,False,out_of_scope,,N/A,N/A,N/A,,,False,0.0,N/A,N/A,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.0,0,1.0,0.0001,0.0,0.0,23,,
allam_7b,ALLaM-7B-Instruct-preview,45,6,ماهي حقوق العامل في الإجازة المرضیة؟,faq_retrieval,للعامل الذي يثبت مرضه الحق في إجازة مرضية بأجر عن الثلاثين يومًا الأولى، وبثلاثة أرباع الأجر عن الستين يومًا التالية، ودون أجر للثلاثين يومًا التي تلي ذلك خلال السنة الواحدة، سواء أكانت هذه الإجازات متصلة أم متقطعة، ويقصد بالسنة الواحدة: السنة التي تبدأ من تاريخ أول إجازة مرضية. للمصاب - في حالة عجزه المؤقت عن العمل الناتج من إصابة عمل - الحق في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً ثم يستحق مقابلاً ماليًّا يعادل (75%) من أجره طوال المدة التي يستغرقها علاجه. فإذا بلغت مدة العلاج سنة أو تقرر طبيًّا عدم احتمال شفائه وحالته الصحية لا تمكنه من العمل، عُدت الإصابة عجزاً كليًّا، وينهي العقد ويعوض عن الإصابة. ولا يكون لصاحب العمل حق في استرداد ما دفعه إلى المصاب خلال تلك السنة.,False,legal_or_service,,N/A,N/A,117,,,True,0.7379173994064331,faq,نوع المصدر: FAQ السؤال: ماهي حقوق العامل في الحصول على إجازة في حالة وجود امتحان لديه؟ الإجابة الرسمية: للعامل - إذا وافق صاحب العمل على انتسابه إلى مؤسسة تعليمية أو قَبِل استمراره فيها – الحق في إجازة بأجر كامل لتأدية الامتحان عن سنة غير معادة تحدد مدتها بعد أيام الامتحان الفعلية. أما إذا كان الامتحان عن سنة معادة فيكون للعامل الحق في إجازة دون أجر بعدد أيام الامتحان الفعلية. ويحرم العامل من أجر الإجازة إذا ثبت أنه لم يؤدِّ الامتحان، مع عدم الإخلال بحق صاحب العمل في مساءلته تأديبيًّا. النص: الم...,وفقًا للمادة رقم 117 من نظام العمل السعودي، يحق للعامل الحصول على إجازة مرضية بأجر عن الثلاثين يومًا الأولى، وبثلاثة أرباع الأجر عن الستين يومًا التالية، ودون أجر للثلاثين يومًا التي تلي ذلك خلال السنة الواحدة، سواء أكانت هذه الإجازات متصلة أم متقطعة.,1,0,1,1,0.7812,0,1.0,2.5712,2.2609,0.3042,63,27.8656,
allam_7b,ALLaM-7B-Instruct-preview,48,7,كيف يتم التأكد من قبل الوزارة على تحقق الاشتراطات في المحلات المخصصة للنساء؟,faq_retrieval,تقوم وزارة الموارد البشرية والتنمية الاجتماعية بحملات تفتيشية للتحقق من تطبيق أصحاب المحلات للقرار والالتزام بضوابطه.,False,unknown,,N/A,N/A,N/A,,,False,0.5924315893650054,faq,نوع المصدر: FAQ السؤال: ماهي الحقوق والواجبات العامة للمرأة العاملة؟ الإجابة الرسمية: على صاحب العمل في جميع الأماكن التي يعمل فيها نساء وفي جميع المهن أن يوفر لهن مقاعد تأمينًا لاستراحتهن. في المنشآت النسائية المغلقة يجب أن يكون العاملات من النساء فقط . على كل صاحب عمل يشغل خمسين عاملة فأكثر أن يهيئ مكانًا مناسبًا يتوافر فيه العدد الكافي من المربيات، لرعاية أطفال العاملات الذين تقل أعمارهم عن ست سنوات، وذلك إذا بلغ عدد الأطفال عشرة فأكثر. و يجوز للوزير أن يلزم صاحب العمل الذي يستخدم مائة عاملة ...,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.35,0,1.0,0.2805,0.0,0.28,23,,
allam_7b,ALLaM-7B-Instruct-preview,5,8,ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟,faq_retrieval,وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي وجود عقد عمل موثق بمنصة (قوى) وفق نموذج عقد العمل التنفيذي أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين. أن يكون لعقد العمل رقم تنفيذ عبر مركز التوثيق بوزارة العدل ويتم عن طريق التكامل التقني بين الوزارتين.,False,legal_or_service,,N/A,N/A,N/A,,,True,0.6619340181350708,faq,نوع المصدر: FAQ السؤال: كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة الرسمية: يتم التحقق إلكترونيا وفق بيانات برنامج حماية الأجور ( منصة مدد ) والذي يوثق دفع أجور العاملين بالمنشآت حسب تاريخ الاستحقاق ومقدار الاجر المتفق عليه. النص: المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموث...,يتم توثيق عقد العمل الموثق سندًا تنفيذيًا عبر منصة قوى، حيث تتقدم المنشأة بطلب توثيق العقد أو تحديث العقود القائمة. بعد موافقة كلا الطرفين على العقد، يكتسب العقد الصبغة التنفيذية عبر التكامل التقني مع وزارة العدل بطريقة مؤتمتة.,1,0,1,1,0.875,0,1.0,1.9143,1.6951,0.2168,50,29.4976,
allam_7b,ALLaM-7B-Instruct-preview,56,9,هل تتوفر نسخة من الدليل باللغة الانجليزية؟,faq_retrieval,جاري العمل على ذلك,False,unknown,,N/A,N/A,N/A,,,False,0.610710821301018,faq,نوع المصدر: FAQ السؤال: هل النسخة العربية وغير العربية متطابقة من حيث الخدمات والوظائف والعرض في الأنظمة؟ الإجابة الرسمية: نظام العمل متوفر بثلاث لغات (عربي، انجليزي، اردو)، وانظمة التنمية الاجتماعية والخدمة المدنية للسعوديين فقط (عربي) النص: المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل النسخة العربية وغير العربية متطابقة من حيث الخدمات والوظائف والعرض في الأنظمة؟ الإجابة: نظام العمل متوفر بثلاث لغات (عربي، انجليزي، اردو)، وانظمة الت...,عذرًا، لا أستطيع تقديم إجابة موثوقة لهذا السؤال لأنه خارج نطاق نظام العمل السعودي أو لأن المعلومات الرسمية المسترجعة غير كافية لدعم الإجابة.,0,1,0,0,0.3,0,1.0,0.2135,0.0,0.213,23,,
allam_7b,ALLaM-7B-Instruct-preview,27,10,هل يتم احتساب الفرد الذي يعمل لدى أكثر من منشأة في نفس الوقت ضمن نسبة التوطين؟,faq_retrieval,لن يتم احتساب المشترك الذي يعمل في نفس الوقت إلا لدى صاحب العمل الأول الذي سجل عنده وذلك حسب متطلبات وزارة الموارد البشرية والتنمية الاجتماعية.,False,legal_or_service,,N/A,N/A,N/A,,,True,0.7832637250175932,faq,نوع المصدر: FAQ السؤال: هل يتم احتساب نسبة التوطين لكل كيان ام كل منشأة بشكل منفصل؟ الإجابة الرسمية: يتم الاحتساب على كيان المنشأة – ويعرف الكيان بانه الصفة التي ستتعامل معها الوزارة لأغراض حساب التوطين وتمثل جميع الفروع لذات النشاط الاقتصادي المملوكة لمنشأة واحدة. النص: المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يتم احتساب نسبة التوطين لكل كيان ام كل منشأة بشكل منفصل؟ الإجابة: يتم الاحتساب على كيان المنشأة –...,يتم الاحتساب على كيان المنشأة، حيث يعرف الكيان بأنه الصفة التي ستتعامل معها الوزارة لأغراض حساب التوطين وتمثل جميع الفروع لنشاط اقتصادي واحد مملوكة لمنشأة واحدة.,1,0,1,1,0.7917,0,1.0,1.5219,1.2434,0.2757,36,28.9532,
