eval_id,eval_type,question,gold_source_type,gold_document_unit_ids,gold_article_numbers,chunking_strategy,embedding_model,retriever,alpha,hit_at_1,hit_at_3,hit_at_5,rr,ndcg_at_5,latency_sec,top1_chunk_id,top1_parent_document_id,top1_source_type,top1_article_number,top1_article_title,top1_score,top1_retrieval_backend,top5_parent_document_ids,top5_article_numbers,top5_chunk_ids,top5_relevance
122,legal_article_retrieval,كم مدة فترة التجربة في نظام العمل السعودي؟,legal_article,b56e9c99f1c551928c8727dae90850186c14efc78d6272f429f0c448add3f3dc,53,fixed_size,e5_large,hybrid_reranker,0.8,1,1,1,1.0,1.0,0.6259462833404541,FIXED_000054,b56e9c99f1c551928c8727dae90850186c14efc78d6272f429f0c448add3f3dc,legal_article,53,المادة الثالثة والخمسون :,1.0,chromadb+bm25+reranker,b56e9c99f1c551928c8727dae90850186c14efc78d6272f429f0c448add3f3dc|ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142|4793db46dc99343073200c5fb5e6966468d84b96930f7e09fc7a759044001693|4f2961046b5fffdc637e2b7de4dfb1fd862ccc7b9f3069349681b04ff17df638|61d402f81e5879917a97e8d3b85f93cb7820b8448fe87e78aaffdabaf6e682d7,53|54||2|60,FIXED_000054|FIXED_000055|FIXED_000325|FIXED_000002|FIXED_000061,10000
123,legal_article_retrieval,هل يجوز وضع العامل تحت التجربة أكثر من مرة لدى نفس صاحب العمل؟,legal_article,ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142,54,fixed_size,e5_large,hybrid_reranker,0.8,1,1,1,1.0,1.0,0.5114762783050537,FIXED_000055,ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142,legal_article,54,المادة الرابعة والخمسون:,1.0,chromadb+bm25+reranker,ab8af4e6ecab46b0bf5b588cc55664b9d0a008dc9073912d3417c1f04d083142|4793db46dc99343073200c5fb5e6966468d84b96930f7e09fc7a759044001693|b56e9c99f1c551928c8727dae90850186c14efc78d6272f429f0c448add3f3dc|857d0e1921395a969ef30651c93d93894f105bd5a1baba448544ce5cc4f1fa1d|4ea6ce0796de3bb69240c3b7af0517a5fce42393f56f99a3648f6ae81f915215,54||53|118|,FIXED_000055|FIXED_000325|FIXED_000054|FIXED_000120|FIXED_000451,10000
124,legal_article_retrieval,ما الحد الأقصى لساعات العمل اليومية في نظام العمل؟,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,fixed_size,e5_large,hybrid_reranker,0.8,0,0,1,0.25,0.43067655807339306,0.5334410667419434,FIXED_000108,9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2,legal_article,106,المادة السادسة بعد المائة:,1.0,chromadb+bm25+reranker,9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2|4d7b6567adef57ae0d1350a027920ae7d11610e7cf8da52e68e0c806900f687e|139a495e5833db8719d8b962673d1f8e9de497b5a0e408371c98ec4345f855a7|a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792|d3df245fa2410ecc7d76ecb885576d34412f45e773373fdf999e9b76be2dec73,106|99||98|100,FIXED_000108|FIXED_000101|FIXED_000311|FIXED_000100|FIXED_000102,00010
125,legal_article_retrieval,ما الحد الأقصى لساعات العمل الأسبوعية؟,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,fixed_size,e5_large,hybrid_reranker,0.8,0,0,0,0.0,0.0,0.5003452301025391,FIXED_000313,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa,faq,,,1.0,chromadb+bm25+reranker,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa|9814695f188324862273b04b0b0acc251c11f65b23bddd19e546693785c037d2|139a495e5833db8719d8b962673d1f8e9de497b5a0e408371c98ec4345f855a7|1157999dfa071a7320606edb9b747429aa71cb7707dcaf5be88784d6c4e2f7ca|d3df245fa2410ecc7d76ecb885576d34412f45e773373fdf999e9b76be2dec73,|106||6|100,FIXED_000313|FIXED_000108|FIXED_000311|FIXED_000007|FIXED_000102,00000
126,legal_article_retrieval,هل تختلف ساعات العمل في شهر رمضان؟,legal_article,a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792,98,fixed_size,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.49648451805114746,FIXED_000313,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa,faq,,,1.0,chromadb+bm25+reranker,2bc533aff9fa683ca0a03934a22e3d351b3e9b2f3e2789a0f08115162e6e03fa|a28d9d1238f829c664612f6e0f62f0152a39351f1f09ec1d7016a52c65a95792|5a356cdb0bebaddc4e75f9c17283d8015c2bb4ae6571eb8c393aba98e267920f|15c8355b7682fff75eb3bea1e97889575ddbf3e292b8c06782024b6c775d1416|8bc5b015b81b31323c634d76b147f10c5db9370a66096946cae8f424861403d9,|98|164|102|104,FIXED_000313|FIXED_000100|FIXED_000163|FIXED_000104|FIXED_000106,01000
127,legal_article_retrieval,ما مدة الإجازة السنوية المستحقة للعامل؟,legal_article,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,109,fixed_size,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.5189549922943115,FIXED_000321,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855,faq,,,1.0,chromadb+bm25+reranker,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed|3b88c004534c204c5feba1566db20b2467816150908d4ccb7da284a32fdf07e3|7088bc7ea70c0b4477572527fb7d440e76371176855b2aebda18387aab39623b|bdee8a861687feda8fb175d9a4a5f4ab740c548ee4d7528256ae066315200e91,|109|114||110,FIXED_000321|FIXED_000111|FIXED_000116|FIXED_000318|FIXED_000112,01000
128,legal_article_retrieval,متى تزيد الإجازة السنوية إلى ثلاثين يومًا؟,legal_article,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,109,fixed_size,e5_large,hybrid_reranker,0.8,1,1,1,1.0,1.0,0.5173172950744629,FIXED_000111,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed,legal_article,109,المادة التاسعة بعد المائة:,1.0,chromadb+bm25+reranker,80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed|f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|d8d08274c8960424759e6f96033aea6666a85c87bd7f71f1afc641138dca32c1|2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f|bdee8a861687feda8fb175d9a4a5f4ab740c548ee4d7528256ae066315200e91,109|||117|110,FIXED_000111|FIXED_000321|FIXED_000320|FIXED_000119|FIXED_000112,10000
129,legal_article_retrieval,هل يستحق العامل أجرًا عن أيام الإجازة غير المستخدمة عند انتهاء العمل؟,legal_article,6e6c8673adaa51e0d5e36d8807155b8b4a11c80dbdacd9d0003d61cadafb2edd,111,fixed_size,e5_large,hybrid_reranker,0.8,0,1,1,0.5,0.6309297535714575,0.5242114067077637,FIXED_000321,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855,faq,,,1.0,chromadb+bm25+reranker,f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|6e6c8673adaa51e0d5e36d8807155b8b4a11c80dbdacd9d0003d61cadafb2edd|80b9f2ab3f90233bc03c55e64eb9eaad142f2e0e7b5ea944fb810b1abf71cfed|e8b5ef7c86bc97c469eb6af936fc5aeafda9ce44bf0eed4b9c3c3a7130387fc6|324c5a6750383466b8164b7baf660756738e18bf6c0eb3e71d892f5b745c8c15,|111|109|107|,FIXED_000321|FIXED_000113|FIXED_000111|FIXED_000109|FIXED_000394,01000
130,legal_article_retrieval,هل يستحق العامل إجازة عند الزواج أو وفاة أحد الأقارب؟,legal_article,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7,113,fixed_size,e5_large,hybrid_reranker,0.8,1,1,1,1.0,1.0,0.5208156108856201,FIXED_000115,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7,legal_article,113,المادة الثالثة عشرة بعد المائة :,1.0,chromadb+bm25+reranker,bf42acecf7d911571f3f1c105f9d51c8e30d781beae5d22afe803a238479a1b7|3008cf85045575dc64e17b75a9e0d66c33d546e1d9f751792a2d262f97a74d56|8639d2bc223809ed44ded9320ec04460245b1eb00eff93e6ddc5a1ce681493ff|f196cb04ac077b585020c6b00dd03592845742a0e51983c0e22991f007640855|d8d08274c8960424759e6f96033aea6666a85c87bd7f71f1afc641138dca32c1,113||||,FIXED_000115|FIXED_000315|FIXED_000317|FIXED_000321|FIXED_000320,10000
131,legal_article_retrieval,هل للعامل الحق في إجازة مرضية؟,legal_article,2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f,117,fixed_size,e5_large,hybrid_reranker,0.8,1,1,1,1.0,1.0,0.5148916244506836,FIXED_000119,2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f,legal_article,117,المادة السابعة عشرة بعد المائة:,1.0,chromadb+bm25+reranker,2183bea86d3647611107df091730d37e79fdbc2b3c9ae4b5ba291c94cd07d19f|ccf6f10a532cfd07f098a47b1a57a1105fa223590d6c096438cb0eabefdae88a|5b731056ef895b73c139f974e421ba5d2cb4a60ba5b11b5ba0bbcd86d71e1c88|1d5bd053df86c6e0dbaaddc0523e0448166eed45cfbd27dfc8c8ebbee9917e28|beaf59a1c76f816d935624b5b2ab895b5dfc36cec57f3726e4366fb108a8678f,117|82|||,FIXED_000119|FIXED_000084|FIXED_000323|FIXED_000398|FIXED_000470,10000
