faq_id,question,answer,beneficiaries,sector,subsite,page_number,page_url,source,searchable_text,source_type,source_name,legal_category,document_unit_id,text_for_indexing,normalized_text,faq_domain_label,faq_filter_reason,keep_for_rag,keep_for_eval
2,ماذا أفعل إذا تم إرجاع الطلب للمراجعة؟,الدخول إلى “مهامي” ← اختيار مهمة طلب مراجعة ← تعديل البيانات ← إعادة الإرسال.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: ماذا أفعل إذا تم إرجاع الطلب للمراجعة؟ الإجابة: الدخول إلى “مهامي” ← اختيار مهمة طلب مراجعة ← تعديل البيانات ← إعادة الإرسال.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,45ba092b75bd47f574e08441bf1e9c90f26407759e87244a21cbec0393a0b80b,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ماذا أفعل إذا تم إرجاع الطلب للمراجعة؟ الإجابة: الدخول إلى “مهامي” ← اختيار مهمة طلب مراجعة ← تعديل البيانات ← إعادة الإرسال.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: ماذا افعل اذا تم ارجاع الطلب للمراجعه؟ الاجابه: الدخول الي مهامي اختيار مهمه طلب مراجعه تعديل البيانات اعاده الارسال.,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
3,ماذا يحدث بعد إرسال الطلب؟,يتم تحويل الطلب إلى اللجنة للمراجعة ويتم إشعار المتقدم بحالة الطلب.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: ماذا يحدث بعد إرسال الطلب؟ الإجابة: يتم تحويل الطلب إلى اللجنة للمراجعة ويتم إشعار المتقدم بحالة الطلب.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,892e3d1d59a9e5b0888f0ee43a62b3a57facd5b2c367f9d7a2982b9c020f85b2,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ماذا يحدث بعد إرسال الطلب؟ الإجابة: يتم تحويل الطلب إلى اللجنة للمراجعة ويتم إشعار المتقدم بحالة الطلب.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: ماذا يحدث بعد ارسال الطلب؟ الاجابه: يتم تحويل الطلب الي اللجنه للمراجعه ويتم اشعار المتقدم بحاله الطلب.,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
5,ما متطلبات التقديم؟,أن يكون المتقدم حاصل على ترخيص سابق.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: ما متطلبات التقديم؟ الإجابة: أن يكون المتقدم حاصل على ترخيص سابق.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,d7c8f758a989c6eff231b8f46d720067862261f3a316ee1efad92b138bef8990,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ما متطلبات التقديم؟ الإجابة: أن يكون المتقدم حاصل على ترخيص سابق.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: ما متطلبات التقديم؟ الاجابه: ان يكون المتقدم حاصل علي ترخيص سابق.,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
7,هل يمكن للمتقدم أن يحصل على أكثر من تصنيف وبالتالي أكثر من رخصة؟,نعم، يمكن للمتقدم الحصول على أكثر من رخصة إذا كان يحمل مؤهلات أو دورات أو خبرات تؤهله لذلك.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: هل يمكن للمتقدم أن يحصل على أكثر من تصنيف وبالتالي أكثر من رخصة؟ الإجابة: نعم، يمكن للمتقدم الحصول على أكثر من رخصة إذا كان يحمل مؤهلات أو دورات أو خبرات تؤهله لذلك.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,d347345a1c3721559b95c9512403e06d1f67b6513c35dc9a13ce3f4feeb715c1,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: هل يمكن للمتقدم أن يحصل على أكثر من تصنيف وبالتالي أكثر من رخصة؟ الإجابة: نعم، يمكن للمتقدم الحصول على أكثر من رخصة إذا كان يحمل مؤهلات أو دورات أو خبرات تؤهله لذلك.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: هل يمكن للمتقدم ان يحصل علي اكثر من تصنيف وبالتالي اكثر من رخصه؟ الاجابه: نعم، يمكن للمتقدم الحصول علي اكثر من رخصه اذا كان يحمل موهلات او دورات او خبرات توهله لذلك.,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
8,إذا رفض طلب التسجيل والتصنيف هل يحق لي استرداد رسوم الخدمة؟,نعم، يحق لك استرداد رسوم خدمة التسجيل والتصنيف إذا رفض الطلب.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: إذا رفض طلب التسجيل والتصنيف هل يحق لي استرداد رسوم الخدمة؟ الإجابة: نعم، يحق لك استرداد رسوم خدمة التسجيل والتصنيف إذا رفض الطلب.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,c048d7b95fdb8e1be2ce4463e7ef854380bbb0e9bccb7aeaa1aa340c568b0efc,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: إذا رفض طلب التسجيل والتصنيف هل يحق لي استرداد رسوم الخدمة؟ الإجابة: نعم، يحق لك استرداد رسوم خدمة التسجيل والتصنيف إذا رفض الطلب.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: اذا رفض طلب التسجيل والتصنيف هل يحق لي استرداد رسوم الخدمه؟ الاجابه: نعم، يحق لك استرداد رسوم خدمه التسجيل والتصنيف اذا رفض الطلب.,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
9,ماذا يحدث في حال رفض الطلب؟,يمكنك الاطلاع على سبب الرفض من خلال تفاصيل الطلب، ثم التقديم بطلب جديد بعد معالجة الأسباب.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: ماذا يحدث في حال رفض الطلب؟ الإجابة: يمكنك الاطلاع على سبب الرفض من خلال تفاصيل الطلب، ثم التقديم بطلب جديد بعد معالجة الأسباب.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,1288af014fd6af6f270f62cc3eaae3db93585a0f7436c1b04bbe7bcaf5eb5c8b,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: ماذا يحدث في حال رفض الطلب؟ الإجابة: يمكنك الاطلاع على سبب الرفض من خلال تفاصيل الطلب، ثم التقديم بطلب جديد بعد معالجة الأسباب.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: ماذا يحدث في حال رفض الطلب؟ الاجابه: يمكنك الاطلاع علي سبب الرفض من خلال تفاصيل الطلب، ثم التقديم بطلب جديد بعد معالجه الاسباب.,exclude_non_labor_faq,Generic service-status question without labor-law evidence.,False,False
10,هل يمكن إلغاء الفاتورة؟,نعم، يمكن إلغاء الفاتورة قبل السداد، مع ضرورة إدخال سبب الإلغاء.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: هل يمكن إلغاء الفاتورة؟ الإجابة: نعم، يمكن إلغاء الفاتورة قبل السداد، مع ضرورة إدخال سبب الإلغاء.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,08ba662a93ceb81fb2b5bb34f30c25d8671da5e7b2357c2b63ec341c90e9ad5e,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: هل يمكن إلغاء الفاتورة؟ الإجابة: نعم، يمكن إلغاء الفاتورة قبل السداد، مع ضرورة إدخال سبب الإلغاء.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: هل يمكن الغاء الفاتوره؟ الاجابه: نعم، يمكن الغاء الفاتوره قبل السداد، مع ضروره ادخال سبب الالغاء.,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
11,كيف أعرف حالة طلبي؟,يمكنك متابعة حالة الطلب من خلال صفحة “طلباتي” في المنتج، كما تصلك إشعارات عبر: رسالة نصية (SMS) رسالة نصية (SMS) بريد إلكتروني بريد إلكتروني إشعار داخل المنتج إشعار داخل المنتج,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: كيف أعرف حالة طلبي؟ الإجابة: يمكنك متابعة حالة الطلب من خلال صفحة “طلباتي” في المنتج، كما تصلك إشعارات عبر: رسالة نصية (SMS) رسالة نصية (SMS) بريد إلكتروني بريد إلكتروني إشعار داخل المنتج إشعار داخل المنتج,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,322e1c71d39e320d3dd74149475e8fa23c9a49ea491ff4fba087dc56c4130a17,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: كيف أعرف حالة طلبي؟ الإجابة: يمكنك متابعة حالة الطلب من خلال صفحة “طلباتي” في المنتج، كما تصلك إشعارات عبر: رسالة نصية (SMS) رسالة نصية (SMS) بريد إلكتروني بريد إلكتروني إشعار داخل المنتج إشعار داخل المنتج,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: كيف اعرف حاله طلبي؟ الاجابه: يمكنك متابعه حاله الطلب من خلال صفحه طلباتي في المنتج، كما تصلك اشعارات عبر: رساله نصيه (SMS) رساله نصيه (SMS) بريد الكتروني بريد الكتروني اشعار داخل المنتج اشعار داخل المنتج,exclude_non_labor_faq,Question/answer matches general or non-labor FAQ keywords.,False,False
12,ماذا يحدث بعد قبول الطلب؟,قد يتم: قبول مباشر وإصدار الرخصة قبول مباشر وإصدار الرخصة قبول مع اختبار قبول مع اختبار قبول مع اختبار ومقابلة قبول مع اختبار ومقابلة قبول مع مقابلة قبول مع مقابلة,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: ماذا يحدث بعد قبول الطلب؟ الإجابة: قد يتم: قبول مباشر وإصدار الرخصة قبول مباشر وإصدار الرخصة قبول مع اختبار قبول مع اختبار قبول مع اختبار ومقابلة قبول مع اختبار ومقابلة قبول مع مقابلة قبول مع مقابلة,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,769f3118ab9018c0aacc4e962a6fa9d6a3c4661cd1bea8a1394bfa9217563a13,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ماذا يحدث بعد قبول الطلب؟ الإجابة: قد يتم: قبول مباشر وإصدار الرخصة قبول مباشر وإصدار الرخصة قبول مع اختبار قبول مع اختبار قبول مع اختبار ومقابلة قبول مع اختبار ومقابلة قبول مع مقابلة قبول مع مقابلة,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: ماذا يحدث بعد قبول الطلب؟ الاجابه: قد يتم: قبول مباشر واصدار الرخصه قبول مباشر واصدار الرخصه قبول مع اختبار قبول مع اختبار قبول مع اختبار ومقابله قبول مع اختبار ومقابله قبول مع مقابله قبول مع مقابله,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
13,ما هي حالات الطلب؟,تحت الإجراء تحت الإجراء مرفوض مرفوض مكتمل مكتمل,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,2,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: ما هي حالات الطلب؟ الإجابة: تحت الإجراء تحت الإجراء مرفوض مرفوض مكتمل مكتمل,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,20bdc866e841063a5de34a5d7a1b023b7fbd6b026609b1236adb216c06076988,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ما هي حالات الطلب؟ الإجابة: تحت الإجراء تحت الإجراء مرفوض مرفوض مكتمل مكتمل,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: ما هي حالات الطلب؟ الاجابه: تحت الاجراء تحت الاجراء مرفوض مرفوض مكتمل مكتمل,exclude_non_labor_faq,Social-development FAQ without strong labor-law evidence.,False,False
