السؤال,حالة الاسترجاع,درجة أول نتيجة,نوع المصدر,رقم المادة,عنوان المادة,ملاحظة المصدر,طريقة الاسترجاع,زمن الاسترجاع بالثواني,معاينة السياق المسترجع للـ LLM
كم مدة فترة التجربة في نظام العمل السعودي؟,موثوق,0.9552086591720581,legal_article,53,المادة الثالثة والخمسون :,مصدر قانوني مباشر مع رقم مادة.,chromadb+bm25+reranker,0.33640599250793457,مقتطف من مادة قانونية: الباب الخامس - علاقات العمل الفصل الأول المادة 53 : : إذا كان العامل خاضعاً للتجربة، وجب النص على ذلك صراحة في عقد العمل، وتحديد مدتها بوضوح، على ألا يزيد مجموع المدة في جميع الأحوال على (مائة وثمانين) يوماً. وتبين اللائحة الأحكام المتصلة بذلك بما في ذلك ما يتعلق بالإجازات التي لا تدخل في حساب المدة. ولكل من الطرفين الحق في إنهاء العقد خلال هذه المدة. --- egal_article لمادة الرابعة والخمسون: التصنيف القانوني: علاقات العمل : الفصل الأول رقم المادة: الرابعة والخمسون : النص القانوني: الباب الخام...
متى يستحق العامل مكافأة نهاية الخدمة؟,موثوق,0.9579455852508545,faq,,,مصدر FAQ رسمي. لا يوجد رقم مادة مباشر.,chromadb+bm25+reranker,0.3148987293243408,مقتطف من FAQ رسمي: ما دام أن التمديد كان للمصلحة العامة التي يقتضيها الاستمرار في الوظيفة بعد بلوغ السن النظامية وهو وضع استثنائي – فإنه تبعاً لذلك لا يضار بحرمانه من المكافأة المنصوص عليها بهذه المادة بمجرد تمديد خدماته إذ أن استحقاقه للمكافأة حصل ببلوغه السن النظامية حتى وإن أجل صرفها إلى ما بعد انتهاء مدة التمديد أو بعضها. --- egal_article لمادة الرابعة والثمانون: التصنيف القانوني: علاقات العمل : الفصل الرابع رقم المادة: الرابعة والثمانون : النص القانوني: الباب الخامس - علاقات العمل الفصل الرابع المادة 84 : : إذ...
كم عدد ساعات العمل في نظام العمل السعودي؟,موثوق,0.9181236028671265,legal_article,99,المادة التاسعة والتسعون:,مصدر قانوني مباشر مع رقم مادة.,chromadb+bm25+reranker,0.31075572967529297,مقتطف من مادة قانونية: الباب السادس - شروط العمل وظروفه الفصل الثاني المادة 99 : : يجوز زيادة ساعات العمل المنصوص عليها في المادة الثامنة والتسعين من هذا النظام إلى تسع ساعات في اليوم الواحد لبعض فئات العمال ، أو في بعض الصناعات والأعمال التي لا يشتغل فيها العامل بصفة مستمرة . كما يجوز تخفيضها إلى سبع ساعات في اليوم الواحد لبعض فئات العمال أو في بعض الصناعات والأعمال الخطرة أو الضارة . وتحدد فئات العمال والصناعات والأعمال المشار إليها بقرار من الوزير . --- aq an : قطاع العمل : كم عدد ساعات العمل ؟ النص المسترجع: :...
هل يحق لصاحب العمل نقل العامل من فرع إلى فرع؟,موثوق,0.9413469433784485,legal_article,58,المادة الثامنة والخمسون:,مصدر قانوني مباشر مع رقم مادة.,chromadb+bm25+reranker,0.3244478702545166,مقتطف من مادة قانونية: الباب الخامس - علاقات العمل الفصل الأول المادة 58 : : لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته - كتابةً - من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته . لصاحب العمل - في حالات الضرورة التي قد تقتضيها ظروف عارضة ولمدة لا تتجاوز ثلاثين يوماً في السنة - تكليف العامل بعمل في مكان يختلف عن المكان المتفق عليه دون اشتراط موافقته ، على أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة. --- aq an : قطاع العمل : ماهي الحقوق العامة في عقد العمل؟ النص المسترجع: : ماهي الحق...
ما مدة الإجازة السنوية للعامل؟,موثوق,0.9963352680206299,faq,,,مصدر FAQ رسمي. لا يوجد رقم مادة مباشر.,chromadb+bm25+reranker,0.3082544803619385,مقتطف من FAQ رسمي: يستحق العامل عن كل عام إجازة سنوية لا تقل مدتها عن واحد وعشرين يومًا، تُزاد إلى مدة لا تقل عن ثلاثين يومًا إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة، وتكون الإجازة بأجر يدفع مقدمًا. يجب أن يتمتع العامل بإجازته في سنة استحقاقها، ولا يجوز النزول عنها، أو أن يتقاضى بدلًا نقديًّا عوضًا عن الحصول عليها أثناء خدمته، ولصاحب العمل أن يحدد مواعيد هذه الإجازات وفقًا لمقتضيات العمل، أو يمنحها بالتناوب لكي يؤمن سير عمله، وعليه إشعار العامل بالميعاد المحدد لتمتعه بالإجازة بوقت كافٍ لا يقل عن ثلاثين ي...
كيف أقدم شكوى على صاحب العمل؟,موثوق,0.9956517815589905,faq,,,مصدر FAQ رسمي. لا يوجد رقم مادة مباشر.,chromadb+bm25+reranker,0.31224918365478516,مقتطف من FAQ رسمي: على العميل التوجه إلى مكتب العمل الذي يعمل فيه الموظف، وتقديم الشكوى للمدير المباشر حيث تتم متابعة الشكوى وإفادة العميل. وفي حال عدم الإفادة من قبل المدير المباشر، على العميل التوجه إلى وزارة الموارد البشرية والتنمية الاجتماعية، وتقديم إفادة مكتوبة بخصوص المشكلة التي حصلت، إضافةً إلى إقرار بصحة المعلومات، مرفقةً ببياناته الكاملة. --- aq an : قطاع العمل : ما هي أنواع الشكاوى التي يمكن أن يقدمها الموظف على صاحب العمل؟ النص المسترجع: : ما هي أنواع الشكاوى التي يمكن أن يقدمها الموظف على صاحب العمل؟ ا...
ما حقوق العامل عند انتهاء عقد العمل؟,موثوق,0.9760190844535828,legal_article,64,المادة الرابعة والستون:,مصدر قانوني مباشر مع رقم مادة.,chromadb+bm25+reranker,0.2881746292114258,مقتطف من مادة قانونية: الباب الخامس - علاقات العمل الفصل الثاني المادة 64 : : يلتزم صاحب العمل عند إنتهاء عقد العمل بما يأتي : أن يعطي العامل – بناء على طلبه – شهادة خدمة دون مقابل ، يوضح فيها تاريخ التحاقه بالعمل ، وتاريخ انتهاء علاقته به ، ومهنته ، ومقدار أجره الأخير . ولا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه . أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق . ثانياً: واجبات العمال --- aq an : قطاع العمل : ماهي الحقوق العامة في عقد العمل؟ النص المسترجع: : م...
ما حكم الطلاق؟,غير موثوق,0.00782698206603527,legal_article,87,المادة السابعة والثمانون:,محجوب بسبب انخفاض درجة الموثوقية.,chromadb+bm25+reranker,0.32051587104797363,غير موثوق: لن يتم تمرير هذا السياق إلى نموذج اللغة الكبير.
كم سعر العقار في الرياض؟,غير موثوق,0.00012059524306096137,faq,,,محجوب بسبب انخفاض درجة الموثوقية.,chromadb+bm25+reranker,0.3227062225341797,غير موثوق: لن يتم تمرير هذا السياق إلى نموذج اللغة الكبير.
ما أفضل سيارة عائلية؟,غير موثوق,4.773710679728538e-05,faq,,,محجوب بسبب انخفاض درجة الموثوقية.,chromadb+bm25+reranker,0.2971165180206299,غير موثوق: لن يتم تمرير هذا السياق إلى نموذج اللغة الكبير.
