eval_id,eval_type,reference,asr_hypothesis,wer
70,faq_retrieval,هل يحق للعامل طلب نقل خدماته قبل مضي 12 شهرا من قدومه للمملكة لأول مرة للعمل لدى المنشأة الحالية؟,هل يحق للعمل طلب نقل خدماته قبل مضيء شهرا من قدومه للمملكة لأول مرة للعمل لدى المنشأة الحالية؟,0.1111111111111111
141,legal_article_retrieval,ما واجبات صاحب العمل تجاه العامل؟,مواجبات صاحب العمل تجاه العامي,0.5
28,faq_retrieval,كيف يحسب الخليجي في نسب التوطين؟,كاف يحسب الخليج في نسبة توطنة,0.6666666666666666
20,faq_retrieval,"ما هي معايير الحصول على شهادة ""مواءمة""؟",ما هي معايير الحصول على شهادة موائم لني؟,0.25
43,faq_retrieval,هل يمكن إلزام الموظفين بالعمل خلال إجازة عيد الفطر؟,هل يمكن إلزام الموظفين بالعمل خلال إجازة عيد الفطي؟,0.1111111111111111
118,faq_retrieval,هل يمكن تعويض الموظف عن إجازاته العادية قبل انتهاء خدمته إذا اقتضت مصلحة العمل بقاءه في العمل دون تمتعه بإجازته العادية؟,هل يمكن تعويض الموظف عن إجازاته العادية قبل انتهاء خدمته إذا اقتضت وصلحت العمل بقاءه في العمل دون تمتعه بإجازته العادية؟,0.047619047619047616
127,legal_article_retrieval,ما مدة الإجازة السنوية المستحقة للعامل؟,ما مدة الإجازة السنوية المستحقة للعامي؟,0.16666666666666666
109,faq_retrieval,هل يشمل حكم المادة (41) من لائحة الحقوق والمزايا المالية الموظف الذي يستدعى من مقر عمله لمقابلته بهدف معرفة مدى صلاحيته للعمل خارج المملكة أو الالتحاق بإحدى الدورات التدريبية؟,هل يشمل حكم المادة ملائحة الحقوق والمزايا المالية الموظفي الذي يستدعم مقر عمله لمقابلته بهدف معرفة مده صلاحيته للعمل خارج المملكة أو الاتحاق بإحدى الدورات التدريبية؟,0.25
85,faq_retrieval,هل يجب التقيد فقط بالمسميات الواردة في كل مجموعة من الوظائف المحددة بلائحة المعينين على بند الأجور أم أنه يجوز التعيين على جميع الوظائف الحرفية الموضحة بدليل تصنيف الوظائف التي لم تذكر في اللائحة؟,اليجب التقيد فقط بالمسميات الواردة في كل مجموعة من الوظائف المحددة بلائحة المعينين على بند الأجور أم أنه يجوز تعيين على جميع الوظائف الحرفية الماضحة بدليل تصديف الوظائف التي لم تذكر في اللائحة,0.17647058823529413
19,faq_retrieval,هل هنالك مؤهلات محدده للانضمام للبرنامج؟,هل هناك مؤهلات محددة للانضمام للبرنامج؟,0.16666666666666666
13,faq_retrieval,ماهي خدمة نقل العمل برقم الحدود,ما هي خدنة نقل العمل برقم الحدود؟,0.6666666666666666
56,faq_retrieval,هل تتوفر نسخة من الدليل باللغة الانجليزية؟,هل تتوفر نسخة من الدليل باللغة الإنجليزية؟,0.0
129,legal_article_retrieval,هل يستحق العامل أجرًا عن أيام الإجازة غير المستخدمة عند انتهاء العمل؟,هل يستحق العامل أجرا عن أيام الإجازة غير المستخدمة عند انتهاء العمل؟,0.0
79,faq_retrieval,مدرس توفي أثناء العطلة الصيفية هل يستحق ورثته رواتبه عن بقية هذه العطلة؟,متى ستوف أثناء العطلة الصيفية؟ هل يستحق ورثته رواتبه عن بقية هذه العطلة؟,0.23076923076923078
74,faq_retrieval,هل يجوز للمعين على بند الأجور تأجير عقاره الذي يملكه على الجهة الحكومية التي يعمل بها؟,هل يجوز للمعينة على بند الأجور تأجير العقاره الذي يملكه على الجهة الحكومية التي يعمل بها؟,0.125
37,faq_retrieval,في حال تحويل الرواتب عبر البنك، كيف أحصل على ملف حماية الأجور؟,في حال تحويل الرواتب عبر البنك كيف أحصل على ملف حماية الأجوي؟,0.16666666666666666
113,faq_retrieval,ما مدى جواز تعويض من استمر في الخدمة بعد بلوغه السن النظامية عن إجازته للمدة بعد بلوغه السن؟,ما مد جواز تعويض لنستمر في الخدمة بعد بلوغه السن النظامية عن إجازته للمدة بعد بلوغه السن,0.2222222222222222
134,legal_article_retrieval,متى يستحق العامل تعويضًا عند إنهاء العقد لسبب غير مشروع؟,وتيستحق العامل تعويضا عند إنهاء العقل لسبب غير مشروعه,0.4
101,faq_retrieval,هل يجوز تنازل الموظف عن الترقية التي حصل عليها سواء عن طريق المفاضلة أو المسابقة وما الذي يترتب على ذلك؟,هل يجوز تنازل الموظف عن الطرقية التي حصل عليها سواء عن طريق المفاضلة أو المسابقة؟ وما الذي ترتب على ذيك؟,0.2
102,faq_retrieval,ما مدى إمكانية نقل الموظف مكفوف اليد من وظيفة (أمين صندوق) إلى وظيفة (مأمور عهده) داخل الجهة الحكومية التي يعمل بها؟,ما مدى إمكانيته؟ نقل الموظف مكفوف اليد من وظيفة أمين صندوق إلى وظيفة مأمور عهده داخل الجهة الحكومية التي يعمل بها,0.09523809523809523
95,faq_retrieval,كيف يتم تحديد الراتب عند صرف مكافأة مباشرة الأموال العامة؟,كيف يتم تحديد الراتب عند صرف مكافأة لمباشرة الأموال العاملة؟,0.2
137,legal_article_retrieval,متى يستحق العامل مكافأة نهاية الخدمة؟,متى يستحق العامل مكافأة النهاية الخدمة؟,0.16666666666666666
12,faq_retrieval,هل جميع السلالم ممكنة للجهات الحكومية؟,هل جميع السلال ممكنة للجهات للحكومية؟,0.3333333333333333
67,faq_retrieval,ماهي العقوبات عند الإخلال بالعقد من قبل العامل أو صاحب العمل؟,ماهي العقوبات؟ عدى الإخلال بالعقد من قبل العامل أو صاحب العمل,0.2727272727272727
32,faq_retrieval,ما هي الخطوات المتبعة عند تغيب عامل الخدمة المنزلية؟,ما هي الخطوات المتباعة عند تغيب عامل الخدمة المنزلية؟,0.1111111111111111
46,faq_retrieval,هل تستحق العاملة إجازة وضع في حال الإجهاض لا قدر الله؟,هل تستحق العاملة إجاذة وضع في حال الإجهاد لقدر الله؟,0.36363636363636365
52,faq_retrieval,عند إضافة عامل سعودي هل سيتم احتساب نسبة التوطين بشكل فوري؟,عند إضافة عامل سعودي هل سيتم احتساب نسبة التوطين بشكل فوري؟,0.0
77,faq_retrieval,كيف يعامل الموظف الذي يعمل خارج المملكة في حالة التحاقه بالتدريب داخل أو خارج الدولة التي فيها مقر عمله؟,كيف يعامل الموظف الذي يعمل خارج المملكة في حالة اتحاقه بالتدريب داخل أو خارج الدولة التي فيها مقار عمله؟,0.10526315789473684
112,faq_retrieval,ما مدى تأثر بدل النقل الإضافي الذي يصرف للموظف المنتدب في حالة ما إذا دفعت الجهة أجرة السيارة من وإلى مكان الانتداب؟,ما مدى تأثر بدلا نقل الإضاف الذي يصرف للموظف المنتدب في حالة ما إذا دفعت الجهة أجرة السيارة من وإلى مكان الانتداد,0.18181818181818182
10,faq_retrieval,هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها,هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتبار الشركات من تعديل بياناتها؟,0.16666666666666666
5,faq_retrieval,ماهي متطلبات الاستفادة من مبادرة عقد العمل الموثق سندًا تنفيذيًا؟,ما هي متطلبات الاستفادة من نبادرة عقل العمل الموفق سندا تنفيذية؟,0.6
27,faq_retrieval,هل يتم احتساب الفرد الذي يعمل لدى أكثر من منشأة في نفس الوقت ضمن نسبة التوطين؟,هل يتم احتساب الفرد الذي يعمل لدى أكثر من منشأة في نفس الوقت دمن نسبة التوطنة؟,0.125
121,faq_retrieval,هل يجوز تعيين العسكري المفصول من الخدمة العسكرية لغيابه قبل مضي سنة على ذلك الفصل في وظيفة مدنية؟,هل يجوز تعيين العسكري المفصول من الخدمة العسكرية لهيابه قبل مضي سنة على ذلك الفصل في وظيفة مدمية؟,0.1111111111111111
126,legal_article_retrieval,هل تختلف ساعات العمل في شهر رمضان؟,هل تختلف ساعات العمل في شهر رمضان؟,0.0
17,faq_retrieval,ماذا لو كانت نتائج التقييم الذاتي للمنشأة غير جيّدة؟,ماذا لو كانت نتائج التقييم الذاتي للمنشأة غير جيدا؟,0.1111111111111111
11,faq_retrieval,هل تمكن البوابة والانظمة التابعة لها المستخدم من الوصول إلى البيانات الشخصية؟,هل تمكن البوابة والانظمة التابعة لها المستخدم من الوصول إلى البيانات الشخصية لي؟,0.16666666666666666
119,faq_retrieval,هل يمكن الاحتفاظ لمن يعمل في حقل التدريس بإجازاته العادية إذا لم يتمتع بها في العطلة الصيفية لتكليفه بالعمل من قبل مرجعه؟,هل يمكن الاحتفاظ لمن يعمل في حقل التدريس بإجازاته العادية إذا لم يتمت بها في الأطلط الصيفية لتكليفه بالعمل من قبل مرجعه؟,0.09090909090909091
61,faq_retrieval,هل يتطلب من المستخدم إعادة ادخال البيانات التي تملكها الجهات الحكومية الأخرى ؟,هل يتطلب من المستخدم إعادة إدخال البيانات التي تملكها الجهات الحكومية الأخرى؟,0.15384615384615385
68,faq_retrieval,ما هو إجراء تنفيذ طلب خدمة التنقل الوظيفي؟,ما هو إجراءه؟ تنفيذ طلب خدمة تنقل الوظيف,0.375
99,faq_retrieval,هل تحتسب الخدمة التي يقضيها الموظف على بند المشاريع المقطوعة لغرض إكمال مدة الخدمة المطلوب توافرها لابتعاث الموظف للدراسة في الخارج؟,هل تحتسب الخدمة التي يقضيها الموظف على بند المشاريع المقطوعة لغادي إكمالي مدة الخدمة المطلوبة؟ توافرها لابتعاث الموظف للدراسة في الخالج؟,0.19047619047619047
