faq_id,question,answer,beneficiaries,sector,subsite,page_number,page_url,source,searchable_text,source_type,source_name,legal_category,document_unit_id,text_for_indexing,normalized_text,faq_domain_label,faq_filter_reason,keep_for_rag,keep_for_eval
1,هل تستخدم البوابة والانظمة التابعة لها الحلول الوطنية eSignature؟,"تقدم الوزارة خدمة التوقيع الالكتروني في اطار ادارة وتوثيق عقود العمل عبر منصة ""قوى"" يمكن للمنشآت انشاء وتوثيق وانهاء عقود العمل للموظفين بشكل الكرتوني بالكامل.",أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,"التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: هل تستخدم البوابة والانظمة التابعة لها الحلول الوطنية eSignature؟ الإجابة: تقدم الوزارة خدمة التوقيع الالكتروني في اطار ادارة وتوثيق عقود العمل عبر منصة ""قوى"" يمكن للمنشآت انشاء وتوثيق وانهاء عقود العمل للموظفين بشكل الكرتوني بالكامل.",faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,87948be8261685e657502e8c023d087a27fb13927373f98568f379a8d20ff856,"المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل تستخدم البوابة والانظمة التابعة لها الحلول الوطنية eSignature؟ الإجابة: تقدم الوزارة خدمة التوقيع الالكتروني في اطار ادارة وتوثيق عقود العمل عبر منصة ""قوى"" يمكن للمنشآت انشاء وتوثيق وانهاء عقود العمل للموظفين بشكل الكرتوني بالكامل.",المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: هل تستخدم البوابه والانظمه التابعه لها الحلول الوطنيه eSignature؟ الاجابه: تقدم الوزاره خدمه التوقيع الالكتروني في اطار اداره وتوثيق عقود العمل عبر منصه قوي يمكن للمنشات انشاء وتوثيق وانهاء عقود العمل للموظفين بشكل الكرتوني بالكامل.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer,True,True
6,من يمكنه التقديم على خدمة تعديل الفئة المهنية؟,الممارس الحاصل على ترخيص من خلال خدمة التسجيل والتصنيف المهني.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,1,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: من يمكنه التقديم على خدمة تعديل الفئة المهنية؟ الإجابة: الممارس الحاصل على ترخيص من خلال خدمة التسجيل والتصنيف المهني.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,101eb80686e1dc09293a4571ab0df39062cef6648a5070096c97efe5291e7b81,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: من يمكنه التقديم على خدمة تعديل الفئة المهنية؟ الإجابة: الممارس الحاصل على ترخيص من خلال خدمة التسجيل والتصنيف المهني.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: من يمكنه التقديم علي خدمه تعديل الفيه المهنيه؟ الاجابه: الممارس الحاصل علي ترخيص من خلال خدمه التسجيل والتصنيف المهني.,review_labor_related,Weak labor signal; needs manual review before evaluation,True,False
17,هل يمكن تعديل الطلب بعد إرساله؟,لا يمكن تعديل الطلب بعد الإرسال، إلا في حال تم إعادته من قبل الموظف لغرض التعديل.,التخصصات الاجتماعية | العمالة المنزلية | كبار السن,قطاع التنمية الاجتماعية,مركز الرياض للسياسات السلوكية,2,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن قطاع التنمية الاجتماعية مركز الرياض للسياسات السلوكية السؤال: هل يمكن تعديل الطلب بعد إرساله؟ الإجابة: لا يمكن تعديل الطلب بعد الإرسال، إلا في حال تم إعادته من قبل الموظف لغرض التعديل.,faq,HRSD FAQ,التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية,febb9adb0b88b9286ea63b5e0564dec966b828f639da6e62f97c45a9f44b3b7f,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعية | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: هل يمكن تعديل الطلب بعد إرساله؟ الإجابة: لا يمكن تعديل الطلب بعد الإرسال، إلا في حال تم إعادته من قبل الموظف لغرض التعديل.,المصدر: HRSD FAQ التصنيف: التخصصات الاجتماعيه العماله المنزليه كبار السن قطاع التنميه الاجتماعيه مركز الرياض للسياسات السلوكيه السوال: هل يمكن تعديل الطلب بعد ارساله؟ الاجابه: لا يمكن تعديل الطلب بعد الارسال، الا في حال تم اعادته من قبل الموظف لغرض التعديل.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer,True,True
25,متى ستبدأ الرقابة على منافذ الخدمة للمهنة الواردة في القرار؟,في التاريخ المحدد لتطبيق وتنفيذ القرار.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: متى ستبدأ الرقابة على منافذ الخدمة للمهنة الواردة في القرار؟ الإجابة: في التاريخ المحدد لتطبيق وتنفيذ القرار.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,06ca86e549c5c347e7f144f96bbb40fa0d4cbf01599f4f1ecd0089b806278aa6,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: متى ستبدأ الرقابة على منافذ الخدمة للمهنة الواردة في القرار؟ الإجابة: في التاريخ المحدد لتطبيق وتنفيذ القرار.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: متي ستبدا الرقابه علي منافذ الخدمه للمهنه الوارده في القرار؟ الاجابه: في التاريخ المحدد لتطبيق وتنفيذ القرار.,review_labor_related,Weak labor signal; needs manual review before evaluation,True,False
27,هل يطبق القرار على مسمى المهنة فقط، أو على العمل الفعلي للعامل؟,يتم تطبيق القرار على المسميات المهنية والعمل الفعلي للعامل.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: هل يطبق القرار على مسمى المهنة فقط، أو على العمل الفعلي للعامل؟ الإجابة: يتم تطبيق القرار على المسميات المهنية والعمل الفعلي للعامل.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,c4112d91ef914347fc42a3cbe70ec14a8c4f49653d57543431090c71d556409c,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل يطبق القرار على مسمى المهنة فقط، أو على العمل الفعلي للعامل؟ الإجابة: يتم تطبيق القرار على المسميات المهنية والعمل الفعلي للعامل.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: هل يطبق القرار علي مسمي المهنه فقط، او علي العمل الفعلي للعامل؟ الاجابه: يتم تطبيق القرار علي المسميات المهنيه والعمل الفعلي للعامل.,review_labor_related,Weak labor signal; needs manual review before evaluation,True,False
28,هل يطبق قرار توطين المهن بالتوازي مع نطاقات؟,نعم، يُطبق قرار توطين المهن على المهن المستهدفة بالقرار داخل المنشأة، وتُطبق العقوبات المنصوص عليها نظامًا بغض النظر عن نطاق المنشأة في نطاقات، نطاق المنشأة لا يؤثر في عملية حساب نسبة التوطين لمهنة مشرف مسكن.,العمالة المنزلية | كبار السن,,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: العمالة المنزلية | كبار السن مركز الرياض للسياسات السلوكية السؤال: هل يطبق قرار توطين المهن بالتوازي مع نطاقات؟ الإجابة: نعم، يُطبق قرار توطين المهن على المهن المستهدفة بالقرار داخل المنشأة، وتُطبق العقوبات المنصوص عليها نظامًا بغض النظر عن نطاق المنشأة في نطاقات، نطاق المنشأة لا يؤثر في عملية حساب نسبة التوطين لمهنة مشرف مسكن.,faq,HRSD FAQ,العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية,f6cb1c912ccbb571bd042480fb270bb4a2a348d19b19998dafe25511b00601ef,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل يطبق قرار توطين المهن بالتوازي مع نطاقات؟ الإجابة: نعم، يُطبق قرار توطين المهن على المهن المستهدفة بالقرار داخل المنشأة، وتُطبق العقوبات المنصوص عليها نظامًا بغض النظر عن نطاق المنشأة في نطاقات، نطاق المنشأة لا يؤثر في عملية حساب نسبة التوطين لمهنة مشرف مسكن.,المصدر: HRSD FAQ التصنيف: العماله المنزليه كبار السن مركز الرياض للسياسات السلوكيه السوال: هل يطبق قرار توطين المهن بالتوازي مع نطاقات؟ الاجابه: نعم، يطبق قرار توطين المهن علي المهن المستهدفه بالقرار داخل المنشاه، وتطبق العقوبات المنصوص عليها نظاما بغض النظر عن نطاق المنشاه في نطاقات، نطاق المنشاه لا يوثر في عمليه حساب نسبه التوطين لمهنه مشرف مسكن.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer,True,True
34,"ماهي مبادرة ""عقد العمل الموثق سندًا تنفيذيًا""؟",المبادرة بالشراكة مع وزارة العدل انطلاقًا من رؤية المملكة 2030 وبرامجها المختلفة، واستمراراً للجهود المبذولة من وزارة الموارد البشرية والتنمية الاجتماعية الساعية لحماية حقوق العاملين وأصحاب العمل وتعزيزاً لكفاءة سوق العمل السعودي وزيادة جاذبيته من خلال تعزيز موثوقية العلاقة التعاقدية لحماية حقوق أصحاب العمل والعاملين وتسريع إجراءات الفصل في منازعات الأجور الناشئة عن عقود العمل عبر إحالة طلبات دعاوى الأجر المتأخر للتنفيذ مباشرة ، ورغبةً من الوزارة بتوضيح المزيد من التفاصيل جرى إعداد الدليل الارشادي اضغط هنا .,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,"التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: ماهي مبادرة ""عقد العمل الموثق سندًا تنفيذيًا""؟ الإجابة: المبادرة بالشراكة مع وزارة العدل انطلاقًا من رؤية المملكة 2030 وبرامجها المختلفة، واستمراراً للجهود المبذولة من وزارة الموارد البشرية والتنمية الاجتماعية الساعية لحماية حقوق العاملين وأصحاب العمل وتعزيزاً لكفاءة سوق العمل السعودي وزيادة جاذبيته من خلال تعزيز موثوقية العلاقة التعاقدية لحماية حقوق أصحاب العمل والعاملين وتسريع إجراءات الفصل في منازعات الأجور الناشئة عن عقود العمل عبر إحالة طلبات دعاوى الأجر المتأخر للتنفيذ مباشرة ، ورغبةً من الوزارة بتوضيح المزيد من التفاصيل جرى إعداد الدليل الارشادي اضغط هنا .",faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,b650e939fa9e7231e81c2d1e50c6e8deda43d16dcd163e80d34ded176b956d81,"المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي مبادرة ""عقد العمل الموثق سندًا تنفيذيًا""؟ الإجابة: المبادرة بالشراكة مع وزارة العدل انطلاقًا من رؤية المملكة 2030 وبرامجها المختلفة، واستمراراً للجهود المبذولة من وزارة الموارد البشرية والتنمية الاجتماعية الساعية لحماية حقوق العاملين وأصحاب العمل وتعزيزاً لكفاءة سوق العمل السعودي وزيادة جاذبيته من خلال تعزيز موثوقية العلاقة التعاقدية لحماية حقوق أصحاب العمل والعاملين وتسريع إجراءات الفصل في منازعات الأجور الناشئة عن عقود العمل عبر إحالة طلبات دعاوى الأجر المتأخر للتنفيذ مباشرة ، ورغبةً من الوزارة بتوضيح المزيد من التفاصيل جرى إعداد الدليل الارشادي اضغط هنا .",المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: ماهي مبادره عقد العمل الموثق سندا تنفيذيا ؟ الاجابه: المبادره بالشراكه مع وزاره العدل انطلاقا من رويه المملكه 2030 وبرامجها المختلفه، واستمرارا للجهود المبذوله من وزاره الموارد البشريه والتنميه الاجتماعيه الساعيه لحمايه حقوق العاملين واصحاب العمل وتعزيزا لكفاءه سوق العمل السعودي وزياده جاذبيته من خلال تعزيز موثوقيه العلاقه التعاقديه لحمايه حقوق اصحاب العمل والعاملين وتسريع اجراءات الفصل في منازعات الاجور الناشيه عن عقود العمل عبر احاله طلبات دعاوي الاجر المتاخر للتنفيذ مباشره ، ورغبه من الوزاره بتوضيح المزيد من التفاصيل جري اعداد الدليل الارشادي اضغط هنا .,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer,True,True
35,هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟,يحق لصاحب العمل الاعتراض على طلب التنفيذ عن طريق منصة ( ناجز )، حيث يتم إشعار صاحب العمل بطلب التنفيذ ويتم إعطاءه (5) أيام للاعتراض أو السداد.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,3,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يحق لصاحب العمل الاعتراض على طلب التنفيذ عن طريق منصة ( ناجز )، حيث يتم إشعار صاحب العمل بطلب التنفيذ ويتم إعطاءه (5) أيام للاعتراض أو السداد.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,004ea50cd2e3b50e605b6d0f769d2fb418a83490050e46372e0a4ce04446c378,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يحق لصاحب العمل الاعتراض على طلب التنفيذ عن طريق منصة ( ناجز )، حيث يتم إشعار صاحب العمل بطلب التنفيذ ويتم إعطاءه (5) أيام للاعتراض أو السداد.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: هل يحق صاحب العمل في الاعتراض في عقد العمل الموثق سندا تنفيذيا؟ الاجابه: يحق لصاحب العمل الاعتراض علي طلب التنفيذ عن طريق منصه ( ناجز )، حيث يتم اشعار صاحب العمل بطلب التنفيذ ويتم اعطاءه (5) ايام للاعتراض او السداد.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer,True,True
36,كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندًا تنفيذيًا؟,يتم التحقق إلكترونيا وفق بيانات برنامج حماية الأجور ( منصة مدد ) والذي يوثق دفع أجور العاملين بالمنشآت حسب تاريخ الاستحقاق ومقدار الاجر المتفق عليه.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,4,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يتم التحقق إلكترونيا وفق بيانات برنامج حماية الأجور ( منصة مدد ) والذي يوثق دفع أجور العاملين بالمنشآت حسب تاريخ الاستحقاق ومقدار الاجر المتفق عليه.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,529eb529660f41db8b40d522f7914d1ea87fc055ca2c0bd6017d77fdd2d80aa3,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يتم التحقق من استلام العامل للأجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يتم التحقق إلكترونيا وفق بيانات برنامج حماية الأجور ( منصة مدد ) والذي يوثق دفع أجور العاملين بالمنشآت حسب تاريخ الاستحقاق ومقدار الاجر المتفق عليه.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: كيف يتم التحقق من استلام العامل للاجر الذي سيتم التنفيذ عليه في عقد العمل الموثق سندا تنفيذيا؟ الاجابه: يتم التحقق الكترونيا وفق بيانات برنامج حمايه الاجور ( منصه مدد ) والذي يوثق دفع اجور العاملين بالمنشات حسب تاريخ الاستحقاق ومقدار الاجر المتفق عليه.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer,True,True
37,كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟,يتم وفق التالي: الدخول على منصة ناجز التابعة لوزارة العدل. الدخول على منصة ناجز التابعة لوزارة العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبة. استكمال البيانات المطلوبة.,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن,قطاع العمل,مركز الرياض للسياسات السلوكية,4,https://www.hrsd.gov.sa/contact-us/faq,HRSD FAQ,التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن قطاع العمل مركز الرياض للسياسات السلوكية السؤال: كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يتم وفق التالي: الدخول على منصة ناجز التابعة لوزارة العدل. الدخول على منصة ناجز التابعة لوزارة العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبة. استكمال البيانات المطلوبة.,faq,HRSD FAQ,أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية,001715202ff48d357db0ee5b5dc2f8992b5a1cec7389155a11cad6d876f37fc6,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الأجر في عقد العمل الموثق سندًا تنفيذيًا؟ الإجابة: يتم وفق التالي: الدخول على منصة ناجز التابعة لوزارة العدل. الدخول على منصة ناجز التابعة لوزارة العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبة. استكمال البيانات المطلوبة.,المصدر: HRSD FAQ التصنيف: اصحاب عمل افراد العماله المنزليه كبار السن قطاع العمل مركز الرياض للسياسات السلوكيه السوال: كيف يتم رفع طلب التنفيذ في حال عدم التزام صاحب العمل بسداد الاجر في عقد العمل الموثق سندا تنفيذيا؟ الاجابه: يتم وفق التالي: الدخول علي منصه ناجز التابعه لوزاره العدل. الدخول علي منصه ناجز التابعه لوزاره العدل. عن طريق خيار التنفيذ (تقديم طلب تنفيذ). عن طريق خيار التنفيذ (تقديم طلب تنفيذ). استكمال البيانات المطلوبه. استكمال البيانات المطلوبه.,keep_labor_faq,Strong labor-law or labor-service evidence found in question/answer,True,True
